nuts_name,nuts_code,unit_of_assessment_name,4*_fte,3*_fte,2*_fte,1*_fte,unclassified_fte,total_fte
Derbyshire and Nottinghamshire,UKF1,English Language and Literature,23.936000000000003,24.463,11.112000000000002,2.0195000000000003,0.41950000000000004,61.95
Devon,UKK4,English Language and Literature,21.0334,25.541800000000002,14.479500000000002,3.1153000000000004,0.0,64.17
East Anglia,UKH1,English Language and Literature,30.878999999999994,38.739,13.95,1.3319999999999999,0.0,84.89999999999999
East Wales,UKL2,English Language and Literature,10.084200000000001,10.8045,2.6411000000000002,0.4802,0.0,24.01
East Yorkshire and Northern Lincolnshire,UKE1,English Language and Literature,5.5916999999999994,13.2435,9.7119,0.8828999999999999,0.0,29.43
Eastern Scotland,UKM7,English Language and Literature,36.265,49.217000000000006,20.725999999999996,0.992,0.0,107.2
Essex,UKH3,English Language and Literature,6.274,14.036000000000001,11.3,2.19,0.0,33.800000000000004
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,English Language and Literature,9.1225,30.712000000000007,17.162,6.231000000000001,0.7225,63.95
Greater Manchester,UKD3,English Language and Literature,23.3675,30.521,16.8915,3.521,0.39899999999999997,74.7
Hampshire and Isle of Wight,UKJ3,English Language and Literature,12.168000000000001,12.93,10.585,1.617,0.0,37.3
"Herefordshire, Worcestershire and Warwickshire",UKG1,English Language and Literature,0.525,2.1,3.675,0.825,0.375,7.5
Inner London - East,UKI4,English Language and Literature,27.7102,24.3242,9.3643,1.7313,0.0,63.13
Inner London - West,UKI3,English Language and Literature,51.839999999999996,58.03500000000001,26.002,2.986,0.337,139.2
Kent,UKJ4,English Language and Literature,13.544,19.96,13.429,2.967,0.0,49.900000000000006
Lancashire,UKD4,English Language and Literature,22.876,28.2029,19.302,3.6891,0.0,74.07
"Leicestershire, Rutland and Northamptonshire",UKF2,English Language and Literature,16.089,36.054,16.969,4.856,0.132,74.1
Lincolnshire,UKF3,English Language and Literature,1.04,4.5,6.79,0.6100000000000001,0.06,13.0
Merseyside,UKD7,English Language and Literature,16.118,24.006999999999998,12.528,3.247,0.0,55.9
North Eastern Scotland,UKM5,English Language and Literature,6.665,13.33,1.505,0.0,0.0,21.5
North Yorkshire,UKE2,English Language and Literature,23.010099999999998,12.9707,8.3812,2.784,0.46399999999999997,47.61
Northern Ireland,UKN0,English Language and Literature,18.779999999999998,22.605999999999998,9.991,1.194,0.129,52.699999999999996
Northumberland and Tyne and Wear,UKC2,English Language and Literature,26.705,26.712000000000003,17.229,2.73,0.124,73.5
Outer London - East and North East,UKI5,English Language and Literature,0.72,3.04,3.6,0.64,0.0,7.999999999999999
Outer London - South,UKI6,English Language and Literature,6.78,7.006,7.232,1.582,0.0,22.6
Outer London - West and North West,UKI7,English Language and Literature,5.054,12.761999999999999,6.410499999999999,4.9595,1.4639999999999997,30.65
Shropshire and Staffordshire,UKG2,English Language and Literature,2.224,7.645,3.6140000000000003,0.278,0.139,13.9
South Yorkshire,UKE3,English Language and Literature,18.186799999999998,24.957,15.2318,2.0644,0.0,60.44
"Surrey, East and West Sussex",UKJ2,English Language and Literature,35.3495,34.708,19.696,1.9965000000000002,0.0,91.75
Tees Valley and Durham,UKC1,English Language and Literature,18.2076,16.067400000000003,5.323,0.7680000000000001,0.064,40.43000000000001
West Central Scotland,UKM8,English Language and Literature,27.3325,27.0625,14.8065,2.3485,0.0,71.55
West Midlands,UKG3,English Language and Literature,37.949600000000004,43.9904,13.412500000000001,3.4815000000000005,0.636,99.46999999999998
West Wales and The Valleys,UKL1,English Language and Literature,16.8729,20.8123,12.6955,1.2133,0.136,51.730000000000004
West Yorkshire,UKE4,English Language and Literature,16.466000000000005,21.905499999999996,11.7035,3.12,0.055,53.24999999999999
Bedfordshire and Hertfordshire,UKH2,Education,1.008,2.1,3.36,1.9320000000000002,0.0,8.4
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Education,51.790800000000004,37.472,25.663200000000003,4.5489999999999995,0.105,119.58
Cheshire,UKD6,Education,0.55,0.9,2.1,1.25,0.2,5.000000000000001
Cumbria,UKD1,Education,0.0,1.0856,2.4544,1.0856,0.0944,4.720000000000001
Derbyshire and Nottinghamshire,UKF1,Education,15.324,11.589,15.915,6.991999999999999,1.6800000000000002,51.5
Devon,UKK4,Education,13.5648,21.168000000000003,12.5472,2.64,0.0,49.92
East Anglia,UKH1,Education,20.316000000000003,16.524,9.216,0.9480000000000001,0.39599999999999996,47.400000000000006
East Wales,UKL2,Education,9.888,7.416,2.8840000000000003,0.41200000000000003,0.0,20.6
East Yorkshire and Northern Lincolnshire,UKE1,Education,1.36,3.4,6.936,1.7679999999999998,0.136,13.599999999999998
Eastern Scotland,UKM7,Education,21.0591,28.3692,12.03,1.3117,0.0,62.77
Essex,UKH3,Education,0.0,1.352,2.34,1.352,0.15600000000000003,5.2
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Education,17.88,19.746,16.719,3.159,0.39599999999999996,57.9
Greater Manchester,UKD3,Education,17.239,25.652,17.259999999999998,2.4050000000000002,0.44400000000000006,63.00000000000001
Hampshire and Isle of Wight,UKJ3,Education,7.6756,12.8355,7.614599999999999,0.8617,0.1426,29.13
"Herefordshire, Worcestershire and Warwickshire",UKG1,Education,1.0010000000000001,3.1460000000000004,3.003,6.578,0.5720000000000001,14.3
Inner London - East,UKI4,Education,2.835,9.762,7.696000000000001,1.407,0.0,21.700000000000003
Inner London - West,UKI3,Education,128.95600000000002,88.35300000000001,50.104000000000006,7.769,2.518,277.7
Kent,UKJ4,Education,1.08,10.8,6.912000000000001,2.8080000000000003,0.0,21.6
Lancashire,UKD4,Education,3.803,8.989,6.88,3.0279999999999996,0.0,22.7
"Leicestershire, Rutland and Northamptonshire",UKF2,Education,5.34,19.848,15.24,5.9719999999999995,0.0,46.4
Lincolnshire,UKF3,Education,1.152,3.3,4.74,3.168,0.24,12.6
Merseyside,UKD7,Education,3.1100000000000003,11.164,8.756,1.5859999999999999,0.38400000000000006,25.0
North Eastern Scotland,UKM5,Education,0.768,5.664,2.784,0.384,0.0,9.6
North Yorkshire,UKE2,Education,10.094000000000001,9.190999999999999,8.327,3.113,0.975,31.700000000000003
Northern Ireland,UKN0,Education,11.908,17.448,7.811999999999999,2.832,0.0,40.0
Northumberland and Tyne and Wear,UKC2,Education,4.561999999999999,10.671,11.349,8.686,2.532,37.8
Outer London - East and North East,UKI5,Education,0.3,1.1,4.9,2.7,1.0,10.0
Outer London - West and North West,UKI7,Education,2.8781999999999996,8.5304,9.0358,7.9828,1.6328000000000003,30.060000000000002
Shropshire and Staffordshire,UKG2,Education,1.08,2.025,2.025,1.62,0.0,6.75
South Yorkshire,UKE3,Education,6.998,15.187999999999999,3.4740000000000006,1.116,0.124,26.9
"Surrey, East and West Sussex",UKJ2,Education,4.682,10.356000000000002,7.368,0.994,0.0,23.400000000000002
Tees Valley and Durham,UKC1,Education,12.25,7.595,4.41,0.245,0.0,24.5
West Central Scotland,UKM8,Education,17.008,36.276,22.688000000000002,6.528,0.0,82.50000000000001
West Midlands,UKG3,Education,24.3004,30.8418,23.034000000000002,4.1938,0.0,82.37
West Yorkshire,UKE4,Education,9.3749,24.5281,18.0041,3.4368,0.1161,55.46
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Anthropology and Development Studies,35.79,52.2657,30.417,3.5572999999999997,0.0,122.03
East Anglia,UKH1,Anthropology and Development Studies,19.690800000000003,24.1136,14.323200000000003,1.1936,0.3588,59.68000000000001
Eastern Scotland,UKM7,Anthropology and Development Studies,13.669100000000002,24.4469,16.8981,2.6959,0.0,57.71
Greater Manchester,UKD3,Anthropology and Development Studies,15.2915,17.935499999999998,7.8567,0.6844,0.4219,42.18999999999999
Inner London - East,UKI4,Anthropology and Development Studies,2.875,6.5,2.25,0.5,0.375,12.5
Inner London - West,UKI3,Anthropology and Development Studies,37.518499999999996,55.5231,36.0341,9.882200000000001,1.6121,140.57
Kent,UKJ4,Anthropology and Development Studies,2.9997,13.0896,9.5445,1.3635,0.2727,27.27
Merseyside,UKD7,Anthropology and Development Studies,2.376,4.62,4.356,0.7919999999999999,1.056,13.2
North Eastern Scotland,UKM5,Anthropology and Development Studies,2.53,3.85,4.07,0.55,0.0,11.0
Northern Ireland,UKN0,Anthropology and Development Studies,6.09,3.77,4.205,0.435,0.0,14.5
Outer London - East and North East,UKI5,Anthropology and Development Studies,0.5219999999999999,3.7409999999999997,4.0889999999999995,0.174,0.174,8.7
Outer London - West and North West,UKI7,Anthropology and Development Studies,1.62,3.06,3.6,0.72,0.0,9.0
"Surrey, East and West Sussex",UKJ2,Anthropology and Development Studies,4.44,8.325,5.365,0.37,0.0,18.500000000000004
Tees Valley and Durham,UKC1,Anthropology and Development Studies,7.425,10.89,4.95,0.99,0.495,24.75
Bedfordshire and Hertfordshire,UKH2,Physics,2.31,19.14,11.22,0.0,0.33,33.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Physics,53.621,61.103,8.729,1.247,0.0,124.7
Derbyshire and Nottinghamshire,UKF1,Physics,20.1872,32.1904,2.1824,0.0,0.0,54.56
Devon,UKK4,Physics,9.246,26.934,3.6180000000000003,0.402,0.0,40.2
East Anglia,UKH1,Physics,58.254000000000005,81.24900000000001,13.797,0.0,0.0,153.3
East Wales,UKL2,Physics,6.045,13.26,0.195,0.0,0.0,19.5
Eastern Scotland,UKM7,Physics,43.346999999999994,74.349,6.204,0.0,0.0,123.89999999999999
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Physics,15.904499999999999,42.553,8.692499999999999,0.0,0.0,67.14999999999999
Greater Manchester,UKD3,Physics,24.662000000000003,35.04600000000001,4.543000000000001,0.649,0.0,64.90000000000002
Hampshire and Isle of Wight,UKJ3,Physics,13.559000000000001,33.66,3.881,0.0,0.0,51.099999999999994
Inner London - East,UKI4,Physics,4.08,17.52,2.4,0.0,0.0,24.0
Inner London - West,UKI3,Physics,71.3314,158.8464,21.896,2.2802,0.266,254.62
Kent,UKJ4,Physics,1.35,2.4,1.25,0.0,0.0,5.0
Lancashire,UKD4,Physics,9.6426,31.003800000000002,13.6095,1.6041000000000003,0.0,55.86
"Leicestershire, Rutland and Northamptonshire",UKF2,Physics,11.147300000000001,38.66,18.3354,0.8873,0.0,69.02999999999999
Merseyside,UKD7,Physics,11.0543,38.2108,7.1748,0.5700999999999999,0.0,57.00999999999999
North Yorkshire,UKE2,Physics,7.2093,19.224800000000002,6.179399999999999,1.7164999999999997,0.0,34.33
Northern Ireland,UKN0,Physics,10.281,29.055,5.364000000000001,0.0,0.0,44.7
Shropshire and Staffordshire,UKG2,Physics,1.575,5.775,2.1,0.21,0.84,10.500000000000002
South Yorkshire,UKE3,Physics,6.9,20.1,2.7,0.3,0.0,30.0
"Surrey, East and West Sussex",UKJ2,Physics,14.563400000000001,48.98500000000001,13.324399999999999,0.0,0.24719999999999998,77.12000000000002
Tees Valley and Durham,UKC1,Physics,23.1105,48.4575,2.9819999999999998,0.0,0.0,74.55
West Central Scotland,UKM8,Physics,20.678,44.754,6.198,0.27,0.0,71.89999999999999
West Midlands,UKG3,Physics,24.804000000000002,59.28,8.736,0.78,0.0,93.60000000000001
West Wales and The Valleys,UKL1,Physics,2.221,20.056,10.218,0.484,0.121,33.10000000000001
West Yorkshire,UKE4,Physics,6.72,20.04,8.76,0.48,0.0,35.99999999999999
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Clinical Medicine,126.41029999999999,93.01889999999999,19.0808,0.0,0.0,238.51
Derbyshire and Nottinghamshire,UKF1,Clinical Medicine,35.258,48.739000000000004,17.629,1.037,1.037,103.70000000000003
Devon,UKK4,Clinical Medicine,14.92,16.869999999999997,6.475,0.0,0.735,39.0
East Anglia,UKH1,Clinical Medicine,115.99700000000001,62.31850000000001,24.198000000000004,2.016,1.9205,206.45000000000002
East Wales,UKL2,Clinical Medicine,22.4238,30.0951,5.901,0.0,0.5901,59.01
Eastern Scotland,UKM7,Clinical Medicine,107.6292,124.2792,36.182300000000005,2.27,2.0693,272.43
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Clinical Medicine,26.179500000000004,40.536,16.89,0.8445,0.0,84.45
Greater Manchester,UKD3,Clinical Medicine,49.024800000000006,66.7282,19.0652,0.0,1.3618000000000001,136.18
Hampshire and Isle of Wight,UKJ3,Clinical Medicine,35.8475,71.695,30.111899999999995,2.8678,2.8678,143.38999999999996
Inner London - East,UKI4,Clinical Medicine,57.644000000000005,72.055,12.969900000000003,0.0,1.4411,144.11
Inner London - West,UKI3,Clinical Medicine,486.4466,420.5819,167.4798,9.768399999999998,5.753299999999999,1090.03
"Leicestershire, Rutland and Northamptonshire",UKF2,Clinical Medicine,19.467,38.934,11.536,0.721,1.442,72.1
Merseyside,UKD7,Clinical Medicine,43.05,71.75,27.265,1.435,0.0,143.5
North Eastern Scotland,UKM5,Clinical Medicine,13.575,22.805999999999997,16.833,0.5429999999999999,0.5429999999999999,54.3
Northern Ireland,UKN0,Clinical Medicine,14.72,36.8,21.343999999999998,0.0,0.736,73.6
Northumberland and Tyne and Wear,UKC2,Clinical Medicine,55.9094,67.6798,20.5982,2.9426,0.0,147.13
South Yorkshire,UKE3,Clinical Medicine,17.906000000000002,37.091,8.953000000000001,0.0,0.0,63.95
West Central Scotland,UKM8,Clinical Medicine,70.96,76.282,26.61,1.774,1.774,177.39999999999998
West Midlands,UKG3,Clinical Medicine,52.084500000000006,105.43900000000001,35.6935,1.6415,1.6415,196.50000000000003
West Yorkshire,UKE4,Clinical Medicine,26.375999999999998,53.694,12.246000000000002,0.9420000000000001,0.9420000000000001,94.19999999999999
Bedfordshire and Hertfordshire,UKH2,"Communication, Cultural and Media Studies, Library and Information Management",1.035,5.29,4.14,1.035,0.0,11.5
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,"Communication, Cultural and Media Studies, Library and Information Management",0.8029999999999999,3.139,1.9709999999999999,1.168,0.21899999999999997,7.3
Derbyshire and Nottinghamshire,UKF1,"Communication, Cultural and Media Studies, Library and Information Management",11.078,19.326,12.192,1.8039999999999998,0.0,44.400000000000006
Dorset and Somerset,UKK2,"Communication, Cultural and Media Studies, Library and Information Management",8.928,9.92,5.456,0.496,0.0,24.799999999999997
East Anglia,UKH1,"Communication, Cultural and Media Studies, Library and Information Management",3.325,4.465,1.425,0.285,0.0,9.5
East Wales,UKL2,"Communication, Cultural and Media Studies, Library and Information Management",8.51,4.382,2.516,1.9820000000000002,0.21,17.6
Eastern Scotland,UKM7,"Communication, Cultural and Media Studies, Library and Information Management",7.265,14.072,7.3629999999999995,2.8,0.0,31.5
Essex,UKH3,"Communication, Cultural and Media Studies, Library and Information Management",1.0439999999999998,4.002,3.654,0.0,0.0,8.7
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Communication, Cultural and Media Studies, Library and Information Management",5.822,12.054,5.852,1.492,0.18,25.400000000000002
Greater Manchester,UKD3,"Communication, Cultural and Media Studies, Library and Information Management",4.356,7.23,6.486000000000001,5.01,1.518,24.6
Hampshire and Isle of Wight,UKJ3,"Communication, Cultural and Media Studies, Library and Information Management",5.455,11.4205,7.8505,2.726,1.498,28.950000000000003
Inner London - East,UKI4,"Communication, Cultural and Media Studies, Library and Information Management",25.603,33.298,15.221,2.642,1.136,77.89999999999999
Inner London - West,UKI3,"Communication, Cultural and Media Studies, Library and Information Management",45.2945,30.1295,15.178999999999998,5.597,0.0,96.2
Kent,UKJ4,"Communication, Cultural and Media Studies, Library and Information Management",0.715,4.433,7.436,1.5730000000000002,0.14300000000000002,14.3
Lancashire,UKD4,"Communication, Cultural and Media Studies, Library and Information Management",3.123,8.3415,6.1485,2.43,1.107,21.15
"Leicestershire, Rutland and Northamptonshire",UKF2,"Communication, Cultural and Media Studies, Library and Information Management",38.874,37.266999999999996,12.465,2.494,0.0,91.1
Lincolnshire,UKF3,"Communication, Cultural and Media Studies, Library and Information Management",0.7680000000000001,3.3920000000000003,1.2160000000000002,0.8960000000000001,0.128,6.4
Merseyside,UKD7,"Communication, Cultural and Media Studies, Library and Information Management",2.91,9.355,6.199999999999999,2.035,0.0,20.5
North Eastern Scotland,UKM5,"Communication, Cultural and Media Studies, Library and Information Management",1.605,4.601,3.6379999999999995,0.856,0.0,10.7
North Yorkshire,UKE2,"Communication, Cultural and Media Studies, Library and Information Management",0.3,1.74,1.68,1.62,0.66,6.0
Northern Ireland,UKN0,"Communication, Cultural and Media Studies, Library and Information Management",3.444,6.395999999999999,3.6079999999999997,1.9679999999999997,0.9839999999999999,16.4
Northumberland and Tyne and Wear,UKC2,"Communication, Cultural and Media Studies, Library and Information Management",13.343,19.992,12.373999999999999,2.4410000000000003,0.0,48.150000000000006
Outer London - West and North West,UKI7,"Communication, Cultural and Media Studies, Library and Information Management",4.793000000000001,18.683000000000003,14.328000000000001,7.254,0.8419999999999999,45.900000000000006
Shropshire and Staffordshire,UKG2,"Communication, Cultural and Media Studies, Library and Information Management",0.675,2.835,4.185,5.535,0.27,13.5
South Yorkshire,UKE3,"Communication, Cultural and Media Studies, Library and Information Management",14.426000000000002,17.75,8.924,6.0,0.0,47.1
"Surrey, East and West Sussex",UKJ2,"Communication, Cultural and Media Studies, Library and Information Management",20.364,20.223,11.690999999999999,1.1219999999999999,0.0,53.400000000000006
West Central Scotland,UKM8,"Communication, Cultural and Media Studies, Library and Information Management",13.597,19.248,13.019,2.3840000000000003,0.652,48.9
West Midlands,UKG3,"Communication, Cultural and Media Studies, Library and Information Management",4.3689,9.3718,3.2362,1.2331,0.0,18.21
West Wales and The Valleys,UKL1,"Communication, Cultural and Media Studies, Library and Information Management",0.36,1.68,2.64,1.32,0.0,6.0
West Yorkshire,UKE4,"Communication, Cultural and Media Studies, Library and Information Management",14.222000000000001,19.017999999999997,19.618000000000002,4.336,1.456,58.65
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,Biological Sciences,112.016,128.114,28.384000000000007,1.486,0.0,270.0
Derbyshire and Nottinghamshire,UKF1,Biological Sciences,20.897800000000004,46.51,25.9892,5.4172,4.0458,102.86
Devon,UKK4,Biological Sciences,15.828199999999999,32.2022,6.0038,0.0,0.5458,54.58
East Anglia,UKH1,Biological Sciences,110.92760000000001,92.3305,28.4756,0.0,1.8962999999999999,233.63
East Wales,UKL2,Biological Sciences,22.974,22.974,7.658,0.547,0.547,54.699999999999996
Eastern Scotland,UKM7,Biological Sciences,120.8085,91.5125,25.6225,5.733499999999999,3.273,246.95
Essex,UKH3,Biological Sciences,0.69,16.302500000000002,10.1875,1.91,1.16,30.250000000000004
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Biological Sciences,26.952999999999996,48.135999999999996,13.12,0.0,0.8909999999999999,89.10000000000001
Greater Manchester,UKD3,Biological Sciences,54.69350000000001,68.94550000000001,41.01,2.1715,1.9295,168.75
Hampshire and Isle of Wight,UKJ3,Biological Sciences,6.263999999999999,22.272,5.9159999999999995,0.348,0.0,34.8
"Herefordshire, Worcestershire and Warwickshire",UKG1,Biological Sciences,0.7680000000000001,4.224,5.632000000000001,1.6640000000000001,0.512,12.8
Inner London - East,UKI4,Biological Sciences,7.250900000000001,11.9289,3.2746000000000004,0.4678,0.4678,23.39
Inner London - West,UKI3,Biological Sciences,181.9315,161.358,51.1175,3.675,3.418,401.5
Kent,UKJ4,Biological Sciences,4.598,16.698,2.904,0.0,0.0,24.2
"Leicestershire, Rutland and Northamptonshire",UKF2,Biological Sciences,11.22,21.691999999999997,4.114,0.0,0.374,37.4
Merseyside,UKD7,Biological Sciences,2.88,11.7,3.42,0.0,0.0,18.0
North Eastern Scotland,UKM5,Biological Sciences,26.826,47.3926,14.3072,0.0,0.8942,89.42
North Yorkshire,UKE2,Biological Sciences,20.8539,19.079099999999997,4.437,0.0,0.0,44.36999999999999
Northumberland and Tyne and Wear,UKC2,Biological Sciences,15.3,12.852,2.1420000000000003,0.0,0.306,30.6
Shropshire and Staffordshire,UKG2,Biological Sciences,1.364,3.8440000000000003,6.572,0.62,0.0,12.4
South Yorkshire,UKE3,Biological Sciences,22.362,26.398,11.367999999999999,0.9719999999999999,0.0,61.1
"Surrey, East and West Sussex",UKJ2,Biological Sciences,26.4528,33.207899999999995,9.564900000000002,0.9561,1.4283,71.60999999999999
Tees Valley and Durham,UKC1,Biological Sciences,9.75,19.11,8.97,0.39,0.78,39.0
West Central Scotland,UKM8,Biological Sciences,13.2748,34.3938,12.068000000000001,0.6034,0.0,60.339999999999996
West Midlands,UKG3,Biological Sciences,23.5696,52.6288,9.728,0.428,1.3256000000000001,87.67999999999998
West Yorkshire,UKE4,Biological Sciences,24.311999999999998,30.005000000000003,16.764,0.65,2.169,73.9
Bedfordshire and Hertfordshire,UKH2,History,5.4,4.8,1.68,0.12,0.0,11.999999999999998
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,History,72.81099999999999,79.759,34.7115,2.0185000000000004,0.0,189.29999999999998
Cheshire,UKD6,History,0.18,1.92,3.72,0.18,0.0,6.0
Derbyshire and Nottinghamshire,UKF1,History,9.0275,15.64,11.837499999999999,0.745,0.0,37.24999999999999
Devon,UKK4,History,18.8479,21.3667,12.0954,0.22,0.0,52.53
East Anglia,UKH1,History,62.128,57.898999999999994,28.373999999999995,1.499,0.0,149.89999999999998
East Wales,UKL2,History,5.328,6.624,2.3040000000000003,0.14400000000000002,0.0,14.4
East Yorkshire and Northern Lincolnshire,UKE1,History,4.518,13.052,6.275,1.255,0.0,25.099999999999998
Eastern Scotland,UKM7,History,40.976299999999995,58.7803,25.469,2.1243999999999996,0.0,127.34999999999998
Essex,UKH3,History,3.898,10.894,7.334,0.952,0.622,23.699999999999996
"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,History,6.78,19.088,13.384,3.748,0.0,43.0
Greater Manchester,UKD3,History,12.855999999999998,17.322,9.079999999999998,0.142,0.0,39.4
Hampshire and Isle of Wight,UKJ3,History,14.300999999999998,18.238,8.721,0.44,0.0,41.7
"Herefordshire, Worcestershire and Warwickshire",UKG1,History,0.65,2.15,1.4,0.8,0.0,4.999999999999999
Highlands and Islands,UKM6,History,0.7140000000000001,2.1,1.2180000000000002,0.168,0.0,4.2
Inner London - East,UKI4,History,17.3,21.16,9.16,0.38,0.0,48.00000000000001
Inner London - West,UKI3,History,67.82849999999999,86.622,38.88870000000001,3.8125,0.7283,197.87999999999997
