year,nuts_id,nuts_year_spec,aps_nvq4_education_data
2012,UKG2,2016,29.5
2013,UKG2,2016,30.9
2014,UKG2,2016,31.4
2015,UKG2,2016,33.0
2016,UKG2,2016,33.3
2017,UKG2,2016,33.5
2018,UKG2,2016,36.0
2012,UKE3,2016,31.9
2013,UKE3,2016,32.2
2014,UKE3,2016,32.2
2015,UKE3,2016,32.7
2016,UKE3,2016,35.2
2017,UKE3,2016,37.0
2018,UKE3,2016,37.8
2012,UKM9,2016,35.8
2013,UKM9,2016,37.2
2014,UKM9,2016,39.3
2015,UKM9,2016,40.5
2016,UKM9,2016,42.3
2017,UKM9,2016,43.5
2018,UKM9,2016,43.5
2012,UKJ2,2016,42.0
2013,UKJ2,2016,43.5
2014,UKJ2,2016,43.3
2015,UKJ2,2016,44.9
2016,UKJ2,2016,46.5
2017,UKJ2,2016,46.8
2018,UKJ2,2016,48.9
2012,UKC1,2016,29.0
2013,UKC1,2016,30.2
2014,UKC1,2016,31.9
2015,UKC1,2016,34.4
2016,UKC1,2016,35.9
2017,UKC1,2016,35.0
2018,UKC1,2016,34.9
2012,UKM8,2016,43.3
2013,UKM8,2016,44.5
2014,UKM8,2016,46.1
2015,UKM8,2016,49.0
2016,UKM8,2016,48.4
2017,UKM8,2016,48.8
2018,UKM8,2016,47.8
2012,UKG3,2016,31.1
2013,UKG3,2016,30.7
2014,UKG3,2016,32.7
2015,UKG3,2016,34.2
2016,UKG3,2016,34.7
2017,UKG3,2016,34.1
2018,UKG3,2016,36.0
2012,UKL1,2016,32.4
2013,UKL1,2016,33.1
2014,UKL1,2016,34.5
2015,UKL1,2016,35.7
2016,UKL1,2016,37.7
2017,UKL1,2016,36.4
2018,UKL1,2016,36.4
2012,UKE4,2016,34.0
2013,UKE4,2016,33.6
2014,UKE4,2016,34.0
2015,UKE4,2016,35.1
2016,UKE4,2016,34.6
2017,UKE4,2016,36.7
2018,UKE4,2016,37.7
