year,lep_id,lep_year_spec,aps_econ_active_stem_density_data
2018,E37000053,2020,9.9
2019,E37000053,2020,11.9
2010,E37000054,2020,3.4
2011,E37000054,2020,3.8
2012,E37000054,2020,4.4
2013,E37000054,2020,4.4
2014,E37000054,2020,3.7
2015,E37000054,2020,3.5
2016,E37000054,2020,3.8
2017,E37000054,2020,5.1
2018,E37000054,2020,5.5
2019,E37000054,2020,4.6
2010,E37000055,2020,5.2
2011,E37000055,2020,5.8
2012,E37000055,2020,5.8
2013,E37000055,2020,5.2
2014,E37000055,2020,5.6
2015,E37000055,2020,5.2
2016,E37000055,2020,5.1
2017,E37000055,2020,5.4
2018,E37000055,2020,5.5
2019,E37000055,2020,6.2
2010,E37000056,2020,4.4
2011,E37000056,2020,4.4
2012,E37000056,2020,4.2
2013,E37000056,2020,4.3
2014,E37000056,2020,4.5
2015,E37000056,2020,4.8
2016,E37000056,2020,4.3
2017,E37000056,2020,4.3
2018,E37000056,2020,4.8
2019,E37000056,2020,4.9
2010,E37000057,2020,5.5
2011,E37000057,2020,4.9
2012,E37000057,2020,5.7
2013,E37000057,2020,5.4
2014,E37000057,2020,5.8
2015,E37000057,2020,5.2
2016,E37000057,2020,6.4
2017,E37000057,2020,6.2
2018,E37000057,2020,6.1
2019,E37000057,2020,6.0
2010,E37000058,2020,3.5
2011,E37000058,2020,3.5
2012,E37000058,2020,4.6
2013,E37000058,2020,5.0
2014,E37000058,2020,4.2
2015,E37000058,2020,4.2
2016,E37000058,2020,4.6
2017,E37000058,2020,4.7
2018,E37000058,2020,4.0
2019,E37000058,2020,4.4
