,nuts_name,nuts_code,variable,period,population_estimate,inflow,outflow,net
25,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2013,2336630,135660,136449,-0.0003376657836285591
26,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2014,2357766,136257,138602,-0.000994585552595126
27,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2015,2379299,134712,139421,-0.001979154364373708
28,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2016,2391696,150404,157059,-0.0027825442698403142
29,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,internal_migration,2017,2407593,154553,157519,-0.0012319357964572916
30,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2008,2230698,25659,21526,0.001852783299218451
31,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2009,2254528,23300,14589,0.003863779913134811
32,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2010,2275173,23513,18509,0.0021993931890014516
33,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2011,2294573,19516,16803,0.00118235506126848
34,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2012,2314117,19081,15432,0.0015768433488885826
35,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2013,2336630,23726,12890,0.004637447948541275
36,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2014,2357766,26502,14721,0.004996679059754022
37,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2015,2379299,26982,13711,0.005577693261754828
38,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2016,2391696,23648,15571,0.0033771014376409044
39,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,international_migration,2017,2407593,27248,17956,0.003859456311760335
40,Cheshire,UKD6,internal_migration,2008,897196,31657,30768,0.0009908648723355878
41,Cheshire,UKD6,internal_migration,2009,899913,32626,31088,0.0017090540974516425
42,Cheshire,UKD6,internal_migration,2010,902971,32196,30896,0.0014396918616433971
43,Cheshire,UKD6,internal_migration,2011,906402,34514,33263,0.0013801823032164537
44,Cheshire,UKD6,internal_migration,2012,909240,33529,31924,0.0017652105054771017
45,Cheshire,UKD6,internal_migration,2013,913559,35954,33712,0.0024541381563752316
46,Cheshire,UKD6,internal_migration,2014,917452,36322,33587,0.0029810823890514164
47,Cheshire,UKD6,internal_migration,2015,922000,36219,33496,0.002953362255965293
48,Cheshire,UKD6,internal_migration,2016,926536,41479,36809,0.005040279060932333
49,Cheshire,UKD6,internal_migration,2017,930839,42316,37990,0.004647420230566188
50,Cheshire,UKD6,international_migration,2008,897196,3497,3577,-8.916669267361869e-05
51,Cheshire,UKD6,international_migration,2009,899913,3092,3285,-0.000214465176078132
52,Cheshire,UKD6,international_migration,2010,902971,3678,3411,0.00029569055927599003
53,Cheshire,UKD6,international_migration,2011,906402,2974,2528,0.0004920554014664574
54,Cheshire,UKD6,international_migration,2012,909240,3420,3228,0.00021116536887950377
55,Cheshire,UKD6,international_migration,2013,913559,3902,3412,0.0005363638254343726
56,Cheshire,UKD6,international_migration,2014,917452,4052,3344,0.0007717024977873502
57,Cheshire,UKD6,international_migration,2015,922000,4202,3187,0.0011008676789587852
58,Cheshire,UKD6,international_migration,2016,926536,3881,4146,-0.0002860115527081517
59,Cheshire,UKD6,international_migration,2017,930839,4096,3932,0.00017618514050227806
60,Cornwall and Isles of Scilly,UKK3,internal_migration,2008,528616,19896,16456,0.0065075593625618594
61,Cornwall and Isles of Scilly,UKK3,internal_migration,2009,532022,21016,16685,0.008140640800568397
62,Cornwall and Isles of Scilly,UKK3,internal_migration,2010,535984,20594,16376,0.007869637899638795
63,Cornwall and Isles of Scilly,UKK3,internal_migration,2011,540528,21379,17586,0.007017212799336945
64,Cornwall and Isles of Scilly,UKK3,internal_migration,2012,543999,20222,17140,0.0056654515909036595
65,Cornwall and Isles of Scilly,UKK3,internal_migration,2013,548253,21656,17815,0.007005889616655084
66,Cornwall and Isles of Scilly,UKK3,internal_migration,2014,552618,21655,17117,0.00821182082378786
67,Cornwall and Isles of Scilly,UKK3,internal_migration,2015,557388,21542,16663,0.008753328022849434
68,Cornwall and Isles of Scilly,UKK3,internal_migration,2016,563608,25827,18804,0.012460788349349192
69,Cornwall and Isles of Scilly,UKK3,internal_migration,2017,568210,25057,19638,0.009536966966438465
70,Cornwall and Isles of Scilly,UKK3,international_migration,2008,528616,2053,2489,-0.000824795314557259
71,Cornwall and Isles of Scilly,UKK3,international_migration,2009,532022,1996,1402,0.0011164951825300457
72,Cornwall and Isles of Scilly,UKK3,international_migration,2010,535984,2220,1464,0.0014104898653691156
73,Cornwall and Isles of Scilly,UKK3,international_migration,2011,540528,1776,1066,0.0013135304739069946
74,Cornwall and Isles of Scilly,UKK3,international_migration,2012,543999,1925,1476,0.000825369164281552
75,Cornwall and Isles of Scilly,UKK3,international_migration,2013,548253,2065,1498,0.0010341940673375249
76,Cornwall and Isles of Scilly,UKK3,international_migration,2014,552618,2198,1692,0.0009156415462398981
77,Cornwall and Isles of Scilly,UKK3,international_migration,2015,557388,2205,1740,0.0008342483153566277
78,Cornwall and Isles of Scilly,UKK3,international_migration,2016,563608,2004,1874,0.0002306567685341585
79,Cornwall and Isles of Scilly,UKK3,international_migration,2017,568210,2260,1512,0.0013164147058305907
80,Cumbria,UKD1,internal_migration,2008,500786,15711,16112,-0.0008007412347789275
81,Cumbria,UKD1,internal_migration,2009,500165,15776,16205,-0.0008577169534053763
82,Cumbria,UKD1,internal_migration,2010,499817,15527,15776,-0.0004981823347345128
83,Cumbria,UKD1,internal_migration,2011,499205,16255,16795,-0.001081719934696167
84,Cumbria,UKD1,internal_migration,2012,498499,16185,16338,-0.000306921377976686
85,Cumbria,UKD1,internal_migration,2013,498376,17215,17031,0.0003691991588680033
86,Cumbria,UKD1,internal_migration,2014,498581,17308,16658,0.0013036999003171
87,Cumbria,UKD1,internal_migration,2015,498793,16962,16598,0.0007297616446100887
88,Cumbria,UKD1,internal_migration,2016,498375,18572,17470,0.0022111863556558814
89,Cumbria,UKD1,internal_migration,2017,498888,18964,17298,0.0033394268853931142
90,Cumbria,UKD1,international_migration,2008,500786,1798,1238,0.0011182421233820435
91,Cumbria,UKD1,international_migration,2009,500165,1179,1154,4.998350544320374e-05
92,Cumbria,UKD1,international_migration,2010,499817,1583,1273,0.0006202270030831285
93,Cumbria,UKD1,international_migration,2011,499205,1336,1169,0.00033453190573011087
94,Cumbria,UKD1,international_migration,2012,498499,1253,1128,0.0002507527597848742
95,Cumbria,UKD1,international_migration,2013,498376,1378,1358,4.013034335521775e-05
96,Cumbria,UKD1,international_migration,2014,498581,1580,1238,0.000685946716782228
97,Cumbria,UKD1,international_migration,2015,498793,1592,1126,0.0009342552922755532
98,Cumbria,UKD1,international_migration,2016,498375,1394,1529,-0.0002708803611738149
99,Cumbria,UKD1,international_migration,2017,498888,1625,1465,0.0003207132663042607
100,Derbyshire and Nottinghamshire,UKF1,internal_migration,2008,2083210,100619,98836,0.0008558906687275887
101,Derbyshire and Nottinghamshire,UKF1,internal_migration,2009,2098381,103828,100989,0.0013529478202480864
102,Derbyshire and Nottinghamshire,UKF1,internal_migration,2010,2110326,100564,99440,0.0005326191308830958
103,Derbyshire and Nottinghamshire,UKF1,internal_migration,2011,2122938,106781,104194,0.00121859423120223
104,Derbyshire and Nottinghamshire,UKF1,internal_migration,2012,2135031,106918,104793,0.0009953017075630284
105,Derbyshire and Nottinghamshire,UKF1,internal_migration,2013,2148696,111886,110182,0.0007930391269867864
106,Derbyshire and Nottinghamshire,UKF1,internal_migration,2014,2162110,111857,108424,0.0015878008056944373
107,Derbyshire and Nottinghamshire,UKF1,internal_migration,2015,2179199,111238,106354,0.002241190455759203
108,Derbyshire and Nottinghamshire,UKF1,internal_migration,2016,2196060,132519,125449,0.003219402019981239
109,Derbyshire and Nottinghamshire,UKF1,internal_migration,2017,2207511,134137,127029,0.0032199160049485595
110,Derbyshire and Nottinghamshire,UKF1,international_migration,2008,2083210,12844,5489,0.0035306090120535137
111,Derbyshire and Nottinghamshire,UKF1,international_migration,2009,2098381,12331,5687,0.003166250552211443
112,Derbyshire and Nottinghamshire,UKF1,international_migration,2010,2110326,13185,7866,0.0025204636629601305
113,Derbyshire and Nottinghamshire,UKF1,international_migration,2011,2122938,11425,7832,0.0016924658185966807
114,Derbyshire and Nottinghamshire,UKF1,international_migration,2012,2135031,12470,7825,0.0021756124384142432
115,Derbyshire and Nottinghamshire,UKF1,international_migration,2013,2148696,12759,6064,0.0031158432835543047
116,Derbyshire and Nottinghamshire,UKF1,international_migration,2014,2162110,13813,6356,0.003448945705815153
117,Derbyshire and Nottinghamshire,UKF1,international_migration,2015,2179199,14596,6442,0.0037417418051311512
118,Derbyshire and Nottinghamshire,UKF1,international_migration,2016,2196060,12920,5833,0.0032271431563800626
119,Derbyshire and Nottinghamshire,UKF1,international_migration,2017,2207511,14561,11291,0.0014813063219164028
120,Devon,UKK4,internal_migration,2008,1125745,58878,54707,0.0037051019547055504
121,Devon,UKK4,internal_migration,2009,1129578,59319,56519,0.002478801818024076
122,Devon,UKK4,internal_migration,2010,1135491,60176,56669,0.0030885317452978493
123,Devon,UKK4,internal_migration,2011,1142326,63590,59066,0.0039603405682791075
124,Devon,UKK4,internal_migration,2012,1148723,61555,57408,0.003610095732391534
125,Devon,UKK4,internal_migration,2013,1158478,67736,61451,0.005425221713316956
126,Devon,UKK4,internal_migration,2014,1167583,67295,60554,0.005773465355353752
127,Devon,UKK4,internal_migration,2015,1175592,66805,59905,0.005869383255415144
128,Devon,UKK4,internal_migration,2016,1185488,77057,67427,0.008123237012943194
129,Devon,UKK4,internal_migration,2017,1194166,76827,68399,0.007057645252000141
130,Devon,UKK4,international_migration,2008,1125745,6308,7581,-0.0011308067102230078
131,Devon,UKK4,international_migration,2009,1129578,6536,4464,0.0018343133453378165
132,Devon,UKK4,international_migration,2010,1135491,7559,4205,0.0029537882730906718
133,Devon,UKK4,international_migration,2011,1142326,5990,3276,0.002375854178229332
134,Devon,UKK4,international_migration,2012,1148723,6069,3335,0.0023800341770818553
135,Devon,UKK4,international_migration,2013,1158478,6932,3864,0.0026483023415205123
136,Devon,UKK4,international_migration,2014,1167583,7138,3474,0.003138106669932673
137,Devon,UKK4,international_migration,2015,1175592,6912,4511,0.0020423752458335886
138,Devon,UKK4,international_migration,2016,1185488,6311,4089,0.0018743336077632164
139,Devon,UKK4,international_migration,2017,1194166,6790,3384,0.0028521997779203225
140,Dorset and Somerset,UKK2,internal_migration,2008,1257107,57446,52122,0.004235120797195465
141,Dorset and Somerset,UKK2,internal_migration,2009,1266686,60414,54565,0.004617561100383204
142,Dorset and Somerset,UKK2,internal_migration,2010,1276919,60325,54384,0.004652605216149184
143,Dorset and Somerset,UKK2,internal_migration,2011,1284951,62982,57683,0.004123892662054818
144,Dorset and Somerset,UKK2,internal_migration,2012,1292103,62242,56387,0.004531372498941648
145,Dorset and Somerset,UKK2,internal_migration,2013,1300046,65636,58937,0.005152894589883742
146,Dorset and Somerset,UKK2,internal_migration,2014,1308991,65238,58287,0.005310196937946861
147,Dorset and Somerset,UKK2,internal_migration,2015,1318743,65226,57401,0.0059336807854145955
148,Dorset and Somerset,UKK2,internal_migration,2016,1325884,71956,65016,0.00523424371966175
149,Dorset and Somerset,UKK2,internal_migration,2017,1331667,71833,66111,0.004296870013299121
150,Dorset and Somerset,UKK2,international_migration,2008,1257107,8145,9817,-0.0013300379363093196
151,Dorset and Somerset,UKK2,international_migration,2009,1266686,7692,4863,0.002233386964093706
152,Dorset and Somerset,UKK2,international_migration,2010,1276919,7890,4635,0.0025491045242493847
153,Dorset and Somerset,UKK2,international_migration,2011,1284951,7503,4805,0.0020996909609782787
154,Dorset and Somerset,UKK2,international_migration,2012,1292103,6670,4349,0.0017962964252849812
155,Dorset and Somerset,UKK2,international_migration,2013,1300046,7879,5224,0.002042235428592527
156,Dorset and Somerset,UKK2,international_migration,2014,1308991,8751,5047,0.002829660402554334
157,Dorset and Somerset,UKK2,international_migration,2015,1318743,8820,5736,0.002338590612424104
158,Dorset and Somerset,UKK2,international_migration,2016,1325884,7785,5512,0.001714327950258092
159,Dorset and Somerset,UKK2,international_migration,2017,1331667,8429,4688,0.0028092608737770026
160,East Anglia,UKH1,internal_migration,2008,2349739,117260,111976,0.0022487603942395306
161,East Anglia,UKH1,internal_migration,2009,2373563,122100,116166,0.0025000389709478954
162,East Anglia,UKH1,internal_migration,2010,2396328,120197,114749,0.002273478421985638
163,East Anglia,UKH1,internal_migration,2011,2410153,125980,120854,0.0021268359311628765
164,East Anglia,UKH1,internal_migration,2012,2423429,123825,118461,0.0022133926762451057
165,East Anglia,UKH1,internal_migration,2013,2445566,128929,124167,0.0019471974994745593
166,East Anglia,UKH1,internal_migration,2014,2467663,130598,124283,0.002559101465637731
167,East Anglia,UKH1,internal_migration,2015,2484216,129951,123541,0.002580290924782708
168,East Anglia,UKH1,internal_migration,2016,2502519,148589,139541,0.0036155569648022652
169,East Anglia,UKH1,internal_migration,2017,2514759,149422,141084,0.003315625871107331
170,East Anglia,UKH1,international_migration,2008,2349739,22128,16931,0.002211735005462309
171,East Anglia,UKH1,international_migration,2009,2373563,20526,9740,0.004544223178403101
172,East Anglia,UKH1,international_migration,2010,2396328,19146,10928,0.003429413669581126
173,East Anglia,UKH1,international_migration,2011,2410153,18014,14050,0.001644708862881319
174,East Anglia,UKH1,international_migration,2012,2423429,16987,11042,0.0024531356189927576
175,East Anglia,UKH1,international_migration,2013,2445566,18714,9276,0.0038592293154222786
176,East Anglia,UKH1,international_migration,2014,2467663,20494,8803,0.004737680955624816
177,East Anglia,UKH1,international_migration,2015,2484216,20676,12598,0.003251730123306508
178,East Anglia,UKH1,international_migration,2016,2502519,18402,12806,0.0022361468584254506
179,East Anglia,UKH1,international_migration,2017,2514759,20891,16982,0.001554423306567349
180,East Wales,UKL2,internal_migration,2008,1116498,44977,44444,0.0004773855394277464
181,East Wales,UKL2,internal_migration,2009,1122623,45664,44580,0.0009655957520913076
182,East Wales,UKL2,internal_migration,2010,1130221,46914,45203,0.0015138632179016317
183,East Wales,UKL2,internal_migration,2011,1135023,49579,48013,0.001379707723984448
184,East Wales,UKL2,internal_migration,2012,1140382,47787,48369,-0.0005103553019952963
185,East Wales,UKL2,internal_migration,2013,1145046,48849,49681,-0.0007266083633321282
186,East Wales,UKL2,internal_migration,2014,1148472,49126,49579,-0.0003944371303784507
187,East Wales,UKL2,internal_migration,2015,1155184,49338,49320,1.558193326777379e-05
188,East Wales,UKL2,internal_migration,2016,1161762,54063,51409,0.0022844610169724952
189,East Wales,UKL2,internal_migration,2017,1168023,54567,52367,0.0018835245538829286
190,East Wales,UKL2,international_migration,2008,1116498,9156,5436,0.0033318465415970292
191,East Wales,UKL2,international_migration,2009,1122623,7758,7225,0.0004747809371445267
192,East Wales,UKL2,international_migration,2010,1130221,7201,6323,0.000776839219940171
193,East Wales,UKL2,international_migration,2011,1135023,7244,7446,-0.00017796996184218293
194,East Wales,UKL2,international_migration,2012,1140382,7279,3737,0.0031059767691878687
195,East Wales,UKL2,international_migration,2013,1145046,7976,5371,0.0022750177722117714
196,East Wales,UKL2,international_migration,2014,1148472,8633,6580,0.001787592557763707
197,East Wales,UKL2,international_migration,2015,1155184,8697,4148,0.003937900801950165
198,East Wales,UKL2,international_migration,2016,1161762,7932,5920,0.0017318521349467446
199,East Wales,UKL2,international_migration,2017,1168023,9253,6584,0.002285057742869789
200,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2008,913088,29652,31961,-0.0025287814537043526
201,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2009,915263,30357,32283,-0.002104313186483011
202,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2010,918047,30131,31706,-0.001715598438859884
203,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2011,921052,32685,33035,-0.0003800002605716072
204,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2012,921939,31414,32829,-0.0015348087020941733
205,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2013,923888,33179,33940,-0.0008236929151585474
206,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2014,925157,31560,33174,-0.0017445687596807894
207,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2015,928474,32660,32319,0.0003672693042562312
208,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2016,929854,37066,36814,0.0002710102876365537
209,East Yorkshire and Northern Lincolnshire,UKE1,internal_migration,2017,932085,37044,36406,0.0006844869298400897
210,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2008,913088,4767,2393,0.0025999684586808717
211,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2009,915263,4385,1434,0.0032242098719165967
212,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2010,918047,4858,1672,0.0034704105563222796
213,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2011,921052,3794,2427,0.0014841724462896775
214,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2012,921939,3897,2545,0.001466474463061005
215,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2013,923888,4538,3033,0.00162898533155534
216,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2014,925157,4705,2265,0.0026373901943129653
217,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2015,928474,5124,2764,0.0025418051555563216
218,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2016,929854,4625,3344,0.001377635628819148
219,East Yorkshire and Northern Lincolnshire,UKE1,international_migration,2017,932085,5270,3090,0.002338842487541372
220,Eastern Scotland,UKM7,internal_migration,2008,1876490,58797,57055,0.0009283289545907519
221,Eastern Scotland,UKM7,internal_migration,2009,1891230,59099,56212,0.001526519778133807
222,Eastern Scotland,UKM7,internal_migration,2010,1910240,59245,56895,0.0012302119105452717
223,Eastern Scotland,UKM7,internal_migration,2011,1920780,61752,59242,0.0013067607950936599
224,Eastern Scotland,UKM7,internal_migration,2012,1928450,64258,60670,0.0018605615909149836
225,Eastern Scotland,UKM7,internal_migration,2013,1939570,67045,62214,0.002490758260851632
226,Eastern Scotland,UKM7,internal_migration,2014,1953570,69698,64167,0.002831226933255527
227,Eastern Scotland,UKM7,internal_migration,2015,1970280,68134,63036,0.0025874494995635137
228,Eastern Scotland,UKM7,internal_migration,2016,1982530,68574,62383,0.0031227774611229087
229,Eastern Scotland,UKM7,internal_migration,2017,1991830,68480,63510,0.002495192862844721
230,Eastern Scotland,UKM7,international_migration,2008,1876490,20827,9972,0.005784736396143865
231,Eastern Scotland,UKM7,international_migration,2009,1891230,22813,10204,0.006667089671800891
232,Eastern Scotland,UKM7,international_migration,2010,1910240,21355,6997,0.007516333026216601
233,Eastern Scotland,UKM7,international_migration,2011,1920780,17410,11227,0.003219004779308406
234,Eastern Scotland,UKM7,international_migration,2012,1928450,13089,11297,0.0009292436931214187
235,Eastern Scotland,UKM7,international_migration,2013,1939570,15068,10937,0.002129853524234753
236,Eastern Scotland,UKM7,international_migration,2014,1953570,16846,7753,0.004654555506073496
237,Eastern Scotland,UKM7,international_migration,2015,1970280,17918,7383,0.005346955762632722
238,Eastern Scotland,UKM7,international_migration,2016,1982530,14587,8322,0.0031601035041083866
239,Eastern Scotland,UKM7,international_migration,2017,1991830,15030,9200,0.0029269566177836464
240,Essex,UKH3,internal_migration,2008,1704519,75418,70189,0.003067727611132525
241,Essex,UKH3,internal_migration,2009,1717620,79002,74161,0.0028184348109593508
242,Essex,UKH3,internal_migration,2010,1729141,78058,73512,0.0026290510721797703
243,Essex,UKH3,internal_migration,2011,1742012,82820,76958,0.003365074408213032
244,Essex,UKH3,internal_migration,2012,1755137,81928,75871,0.0034510126559920964
245,Essex,UKH3,internal_migration,2013,1775471,90795,80346,0.005885198913415088
246,Essex,UKH3,internal_migration,2014,1790597,88675,83339,0.0029800116944237033
247,Essex,UKH3,internal_migration,2015,1806944,89571,82262,0.004044951033346911
248,Essex,UKH3,internal_migration,2016,1820379,100024,93627,0.003514103381768302
249,Essex,UKH3,internal_migration,2017,1832752,100831,94243,0.0035945943586475422
250,Essex,UKH3,international_migration,2008,1704519,8245,8499,-0.00014901564605616013
251,Essex,UKH3,international_migration,2009,1717620,7729,4239,0.0020318813241578465
252,Essex,UKH3,international_migration,2010,1729141,8392,5828,0.001482817190732277
253,Essex,UKH3,international_migration,2011,1742012,6755,5059,0.0009735868639251624
254,Essex,UKH3,international_migration,2012,1755137,6705,4374,0.0013281014530489642
255,Essex,UKH3,international_migration,2013,1775471,8118,3807,0.002428088096060144
256,Essex,UKH3,international_migration,2014,1790597,9533,3445,0.0033999833575059043
257,Essex,UKH3,international_migration,2015,1806944,9754,4959,0.0026536516903678253
258,Essex,UKH3,international_migration,2016,1820379,8436,4728,0.002036938461715939
259,Essex,UKH3,international_migration,2017,1832752,9080,5889,0.0017410975407474662
260,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2008,2315353,114104,107687,0.002771499637420298
261,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2009,2332984,116772,110836,0.002544380930173546
262,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2010,2352437,115619,110037,0.0023728584442431404
263,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2011,2371934,122570,116750,0.0024536939054796633
264,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2012,2392877,123682,115752,0.0033140023494730403
265,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2013,2416501,130055,121176,0.003674320846546308
266,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2014,2442418,131397,120062,0.004640892754639051
267,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2015,2465250,131471,120927,0.004277051009025454
268,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2016,2484336,148288,137862,0.004196694811007851
269,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,internal_migration,2017,2505692,150349,140638,0.0038755760883620173
270,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2008,2315353,16143,14059,0.000900078735294359
271,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2009,2332984,15613,10816,0.0020561649801284533
272,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2010,2352437,17244,11277,0.0025365185125042666
273,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2011,2371934,15152,10914,0.0017867276239558099
274,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2012,2392877,16147,10808,0.0022312053649226433
275,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2013,2416501,18221,12725,0.0022743628080435308
276,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2014,2442418,20145,12485,0.003136236303531992
277,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2015,2465250,20604,15440,0.0020947165601865937
278,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2016,2484336,17890,14891,0.0012071636042789704
279,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,international_migration,2017,2505692,20746,13162,0.0030267087894282297
280,Greater Manchester,UKD3,internal_migration,2008,2639833,107386,110916,-0.0013372058005184418
281,Greater Manchester,UKD3,internal_migration,2009,2661841,108234,112809,-0.0017187352663062896
282,Greater Manchester,UKD3,internal_migration,2010,2685386,108092,112284,-0.0015610418762889208
283,Greater Manchester,UKD3,internal_migration,2011,2701377,112509,118193,-0.002104112088020295
284,Greater Manchester,UKD3,internal_migration,2012,2713572,111161,117066,-0.002176098515167462
285,Greater Manchester,UKD3,internal_migration,2013,2730123,116143,120889,-0.0017383832157012707
286,Greater Manchester,UKD3,internal_migration,2014,2754017,117521,119040,-0.0005515579606080863
287,Greater Manchester,UKD3,internal_migration,2015,2780844,118644,120093,-0.0005210648278004807
288,Greater Manchester,UKD3,internal_migration,2016,2798799,137175,138810,-0.0005841791425536453
289,Greater Manchester,UKD3,internal_migration,2017,2812569,138267,142425,-0.001478363730809804
290,Greater Manchester,UKD3,international_migration,2008,2639833,22961,15673,0.002760780700900398
291,Greater Manchester,UKD3,international_migration,2009,2661841,21472,12876,0.0032293439014576754
292,Greater Manchester,UKD3,international_migration,2010,2685386,25899,16016,0.0036802902822908887
293,Greater Manchester,UKD3,international_migration,2011,2701377,21659,14457,0.0026660477230686422
294,Greater Manchester,UKD3,international_migration,2012,2713572,21051,16244,0.001771465802270955
295,Greater Manchester,UKD3,international_migration,2013,2730123,24061,16691,0.0026995120732655636
296,Greater Manchester,UKD3,international_migration,2014,2754017,27688,14207,0.004895031512151159
297,Greater Manchester,UKD3,international_migration,2015,2780844,30298,15240,0.005414902813678149
