,class,Description,category
35,class36,Insurance; financial affairs; monetary affairs; real estate affairs,professional_services_education
36,class37,Building construction; repair; installation services,housing_construction
37,class38,Telecommunications,telecommunications
38,class39,Transport; packaging and storage of goods; travel arrangement,other_services
39,class40,Treatment of materials,other_services
40,class41,Education; providing of training; entertainment; sporting and cultural activities,education
41,class42,Scientific and technological services and research and design relating thereto; industrial analysis and research services; design and development of computer hardware and software,scientific
42,class43,Services for providing food and drink; temporary accomodation,other_services
43,class44,"Medical services; veterinary services; hygienic and beauty care for human beings or animals; agriculture, horticulture and forestry services",health
44,class45,Legal services; security services for the protection of property and individuals; personal and social services rendered by others to meet the needs of individuals,professional_services_education
