year,nuts_id,nuts_year_spec,net_migration_rate_internal
2014,UKM5,2016,-1.47
2015,UKM5,2016,-6.99
2016,UKM5,2016,-6.73
2017,UKM5,2016,-5.28
2018,UKM5,2016,-3.35
2009,UKE2,2016,3.36
2010,UKE2,2016,3.51
2011,UKE2,2016,3.25
2012,UKE2,2016,3.83
2013,UKE2,2016,2.41
2014,UKE2,2016,2.93
2015,UKE2,2016,2.41
2016,UKE2,2016,2.74
2017,UKE2,2016,4.2
2018,UKE2,2016,4.17
2009,UKN0,2016,-0.53
2010,UKN0,2016,-0.64
2011,UKN0,2016,-1.22
2012,UKN0,2016,-0.67
2013,UKN0,2016,-0.54
2014,UKN0,2016,-0.45
2015,UKN0,2016,-0.24
2016,UKN0,2016,0.02
2017,UKN0,2016,-0.02
2018,UKN0,2016,0.38
2009,UKC2,2016,-0.18
2010,UKC2,2016,-0.62
2011,UKC2,2016,0.03
2012,UKC2,2016,-0.07
2013,UKC2,2016,1.4
2014,UKC2,2016,0.44
2015,UKC2,2016,1.21
2016,UKC2,2016,2.94
2017,UKC2,2016,3.03
2018,UKC2,2016,3.64
2009,UKI5,2016,-2.69
2010,UKI5,2016,-2.39
2011,UKI5,2016,-5.38
2012,UKI5,2016,-3.45
2013,UKI5,2016,-4.98
2014,UKI5,2016,-5.97
2015,UKI5,2016,-7.61
2016,UKI5,2016,-12.32
2017,UKI5,2016,-11.96
2018,UKI5,2016,-12.06
2009,UKI6,2016,-1.68
2010,UKI6,2016,0.16
2011,UKI6,2016,0.41
2012,UKI6,2016,0.4
2013,UKI6,2016,-2.86
2014,UKI6,2016,-3.02
2015,UKI6,2016,-5.41
2016,UKI6,2016,-7.07
2017,UKI6,2016,-8.06
2018,UKI6,2016,-4.74
2009,UKI7,2016,-6.18
2010,UKI7,2016,-6.48
2011,UKI7,2016,-6.54
2012,UKI7,2016,-8.11
2013,UKI7,2016,-11.09
2014,UKI7,2016,-13.8
2015,UKI7,2016,-14.09
2016,UKI7,2016,-15.57
2017,UKI7,2016,-14.3
2018,UKI7,2016,-13.12
2009,UKG2,2016,0.93
2010,UKG2,2016,0.79
2011,UKG2,2016,0.58
2012,UKG2,2016,1.62
2013,UKG2,2016,1.56
2014,UKG2,2016,1.72
2015,UKG2,2016,2.96
2016,UKG2,2016,5.23
2017,UKG2,2016,5.1
2018,UKG2,2016,5.06
2009,UKE3,2016,-1.58
2010,UKE3,2016,-0.97
2011,UKE3,2016,-0.36
2012,UKE3,2016,-2.28
2013,UKE3,2016,-1.07
2014,UKE3,2016,-0.79
2015,UKE3,2016,-0.22
2016,UKE3,2016,-0.43
2017,UKE3,2016,0.78
2018,UKE3,2016,-0.89
2009,UKM9,2016,2.32
2010,UKM9,2016,2.13
2011,UKM9,2016,1.62
2012,UKM9,2016,2.68
2013,UKM9,2016,2.65
2014,UKM9,2016,3.05
2015,UKM9,2016,3.0
2016,UKM9,2016,3.92
2017,UKM9,2016,4.3
2018,UKM9,2016,5.1
2009,UKJ2,2016,2.68
2010,UKJ2,2016,2.66
2011,UKJ2,2016,2.9
2012,UKJ2,2016,3.5
2013,UKJ2,2016,2.16
2014,UKJ2,2016,1.8
2015,UKJ2,2016,1.26
2016,UKJ2,2016,0.3
2017,UKJ2,2016,0.3
2018,UKJ2,2016,0.35
2009,UKC1,2016,1.17
2010,UKC1,2016,-0.01
2011,UKC1,2016,-0.79
2012,UKC1,2016,0.26
2013,UKC1,2016,0.37
2014,UKC1,2016,1.13
2015,UKC1,2016,1.42
2016,UKC1,2016,1.55
2017,UKC1,2016,1.71
2018,UKC1,2016,1.76
2009,UKM8,2016,-2.48
2010,UKM8,2016,-1.65
2011,UKM8,2016,-2.32
2012,UKM8,2016,-1.46
2013,UKM8,2016,-1.11
2014,UKM8,2016,-0.67
2015,UKM8,2016,1.5
2016,UKM8,2016,1.33
2017,UKM8,2016,1.33
2018,UKM8,2016,0.16
2009,UKG3,2016,-4.89
2010,UKG3,2016,-4.22
2011,UKG3,2016,-2.88
2012,UKG3,2016,-3.72
2013,UKG3,2016,-3.43
2014,UKG3,2016,-3.13
2015,UKG3,2016,-2.93
2016,UKG3,2016,-4.71
2017,UKG3,2016,-6.69
2018,UKG3,2016,-7.97
2009,UKL1,2016,1.14
2010,UKL1,2016,0.66
2011,UKL1,2016,1.67
2012,UKL1,2016,-0.25
2013,UKL1,2016,0.57
2014,UKL1,2016,0.81
2015,UKL1,2016,1.97
2016,UKL1,2016,2.62
2017,UKL1,2016,3.47
2018,UKL1,2016,3.72
2009,UKE4,2016,-2.45
2010,UKE4,2016,-2.3
2011,UKE4,2016,-1.67
2012,UKE4,2016,-2.73
2013,UKE4,2016,-2.09
2014,UKE4,2016,-1.05
2015,UKE4,2016,-0.87
2016,UKE4,2016,-1.77
2017,UKE4,2016,-1.86
2018,UKE4,2016,-1.08
