,year,nuts_id,nuts_year_spec,aps_nvq4_education_data
222,2017,UKG2,2016,33.5
223,2018,UKG2,2016,36.0
224,2012,UKE3,2016,31.9
225,2013,UKE3,2016,32.2
226,2014,UKE3,2016,32.2
227,2015,UKE3,2016,32.7
228,2016,UKE3,2016,35.2
229,2017,UKE3,2016,37.0
230,2018,UKE3,2016,37.8
231,2012,UKM9,2016,35.8
232,2013,UKM9,2016,37.2
233,2014,UKM9,2016,39.3
234,2015,UKM9,2016,40.5
235,2016,UKM9,2016,42.3
236,2017,UKM9,2016,43.5
237,2018,UKM9,2016,43.5
238,2012,UKJ2,2016,42.0
239,2013,UKJ2,2016,43.5
240,2014,UKJ2,2016,43.3
241,2015,UKJ2,2016,44.9
242,2016,UKJ2,2016,46.5
243,2017,UKJ2,2016,46.8
244,2018,UKJ2,2016,48.9
245,2012,UKC1,2016,29.0
246,2013,UKC1,2016,30.2
247,2014,UKC1,2016,31.9
248,2015,UKC1,2016,34.4
249,2016,UKC1,2016,35.9
250,2017,UKC1,2016,35.0
251,2018,UKC1,2016,34.9
252,2012,UKM8,2016,43.3
253,2013,UKM8,2016,44.5
254,2014,UKM8,2016,46.1
255,2015,UKM8,2016,49.0
256,2016,UKM8,2016,48.4
257,2017,UKM8,2016,48.8
258,2018,UKM8,2016,47.8
259,2012,UKG3,2016,31.1
260,2013,UKG3,2016,30.7
261,2014,UKG3,2016,32.7
262,2015,UKG3,2016,34.2
263,2016,UKG3,2016,34.7
264,2017,UKG3,2016,34.1
265,2018,UKG3,2016,36.0
266,2012,UKL1,2016,32.4
267,2013,UKL1,2016,33.1
268,2014,UKL1,2016,34.5
269,2015,UKL1,2016,35.7
270,2016,UKL1,2016,37.7
271,2017,UKL1,2016,36.4
272,2018,UKL1,2016,36.4
273,2012,UKE4,2016,34.0
274,2013,UKE4,2016,33.6
275,2014,UKE4,2016,34.0
276,2015,UKE4,2016,35.1
277,2016,UKE4,2016,34.6
278,2017,UKE4,2016,36.7
279,2018,UKE4,2016,37.7
