geography_name,geography_code,date_code,% of economically active with NVQ4+ - aged 16-64
Derbyshire and Nottinghamshire,UKF1,2016-12,36.1
Derbyshire and Nottinghamshire,UKF1,2017-12,35.8
Derbyshire and Nottinghamshire,UKF1,2018-12,37.8
Devon,UKK4,2012-12,35.3
Devon,UKK4,2013-12,35.5
Devon,UKK4,2014-12,36.8
Devon,UKK4,2015-12,39.3
Devon,UKK4,2016-12,38.8
Devon,UKK4,2017-12,40.1
Devon,UKK4,2018-12,39.3
Dorset and Somerset,UKK2,2012-12,34.0
Dorset and Somerset,UKK2,2013-12,33.7
Dorset and Somerset,UKK2,2014-12,36.6
Dorset and Somerset,UKK2,2015-12,38.2
Dorset and Somerset,UKK2,2016-12,38.5
Dorset and Somerset,UKK2,2017-12,36.7
Dorset and Somerset,UKK2,2018-12,37.4
East Anglia,UKH1,2012-12,35.7
East Anglia,UKH1,2013-12,36.1
East Anglia,UKH1,2014-12,35.3
East Anglia,UKH1,2015-12,35.9
East Anglia,UKH1,2016-12,37.2
East Anglia,UKH1,2017-12,36.6
East Anglia,UKH1,2018-12,37.7
East Wales,UKL2,2012-12,39.3
East Wales,UKL2,2013-12,40.2
East Wales,UKL2,2014-12,43.1
East Wales,UKL2,2015-12,43.6
East Wales,UKL2,2016-12,44.4
East Wales,UKL2,2017-12,45.5
East Wales,UKL2,2018-12,45.2
East Yorkshire and Northern Lincolnshire,UKE1,2012-12,29.3
East Yorkshire and Northern Lincolnshire,UKE1,2013-12,29.0
East Yorkshire and Northern Lincolnshire,UKE1,2014-12,30.4
East Yorkshire and Northern Lincolnshire,UKE1,2015-12,31.5
East Yorkshire and Northern Lincolnshire,UKE1,2016-12,33.8
East Yorkshire and Northern Lincolnshire,UKE1,2017-12,32.6
East Yorkshire and Northern Lincolnshire,UKE1,2018-12,29.8
Eastern Scotland,UKM7,2012-12,47.0
Eastern Scotland,UKM7,2013-12,46.7
Eastern Scotland,UKM7,2014-12,49.3
Eastern Scotland,UKM7,2015-12,49.9
Eastern Scotland,UKM7,2016-12,52.0
Eastern Scotland,UKM7,2017-12,50.5
Eastern Scotland,UKM7,2018-12,51.6
Essex,UKH3,2012-12,29.9
Essex,UKH3,2013-12,30.7
Essex,UKH3,2014-12,29.3
Essex,UKH3,2015-12,31.4
Essex,UKH3,2016-12,34.4
Essex,UKH3,2017-12,33.2
Essex,UKH3,2018-12,33.5
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,2012-12,40.6
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,2013-12,40.0
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,2014-12,42.8
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,2015-12,44.0
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,2016-12,44.7
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,2017-12,47.3
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,2018-12,46.1
Greater Manchester,UKD3,2012-12,36.1
Greater Manchester,UKD3,2013-12,36.8
Greater Manchester,UKD3,2014-12,37.2
Greater Manchester,UKD3,2015-12,38.6
Greater Manchester,UKD3,2016-12,40.5
Greater Manchester,UKD3,2017-12,40.2
Greater Manchester,UKD3,2018-12,40.8
Hampshire and Isle of Wight,UKJ3,2012-12,38.3
Hampshire and Isle of Wight,UKJ3,2013-12,38.2
Hampshire and Isle of Wight,UKJ3,2014-12,40.4
Hampshire and Isle of Wight,UKJ3,2015-12,37.0
Hampshire and Isle of Wight,UKJ3,2016-12,39.3
Hampshire and Isle of Wight,UKJ3,2017-12,39.5
Hampshire and Isle of Wight,UKJ3,2018-12,39.9
"Herefordshire, Worcestershire and Warwickshire",UKG1,2012-12,37.4
"Herefordshire, Worcestershire and Warwickshire",UKG1,2013-12,38.9
"Herefordshire, Worcestershire and Warwickshire",UKG1,2014-12,39.0
"Herefordshire, Worcestershire and Warwickshire",UKG1,2015-12,42.1
"Herefordshire, Worcestershire and Warwickshire",UKG1,2016-12,41.1
"Herefordshire, Worcestershire and Warwickshire",UKG1,2017-12,40.5
"Herefordshire, Worcestershire and Warwickshire",UKG1,2018-12,40.2
Highlands and Islands,UKM6,2012-12,36.1
Highlands and Islands,UKM6,2013-12,38.5
Highlands and Islands,UKM6,2014-12,38.8
Highlands and Islands,UKM6,2015-12,39.9
Highlands and Islands,UKM6,2016-12,43.1
Highlands and Islands,UKM6,2017-12,42.5
Highlands and Islands,UKM6,2018-12,44.2
Inner London - East,UKI4,2012-12,61.3
Inner London - East,UKI4,2013-12,61.1
Inner London - East,UKI4,2014-12,59.8
Inner London - East,UKI4,2015-12,61.1
Inner London - East,UKI4,2016-12,63.0
Inner London - East,UKI4,2017-12,63.6
Inner London - East,UKI4,2018-12,65.9
Inner London - West,UKI3,2012-12,71.1
Inner London - West,UKI3,2013-12,70.5
Inner London - West,UKI3,2014-12,74.1
Inner London - West,UKI3,2015-12,72.6
Inner London - West,UKI3,2016-12,71.8
Inner London - West,UKI3,2017-12,73.5
Inner London - West,UKI3,2018-12,74.8
Kent,UKJ4,2012-12,31.3
Kent,UKJ4,2013-12,35.5
Kent,UKJ4,2014-12,35.4
Kent,UKJ4,2015-12,36.5
Kent,UKJ4,2016-12,39.5
Kent,UKJ4,2017-12,36.1
Kent,UKJ4,2018-12,37.6
Lancashire,UKD4,2012-12,34.9
Lancashire,UKD4,2013-12,32.8
Lancashire,UKD4,2014-12,32.7
Lancashire,UKD4,2015-12,34.6
Lancashire,UKD4,2016-12,36.8
Lancashire,UKD4,2017-12,35.6
Lancashire,UKD4,2018-12,39.1
"Leicestershire, Rutland and Northamptonshire",UKF2,2012-12,31.9
"Leicestershire, Rutland and Northamptonshire",UKF2,2013-12,34.6
"Leicestershire, Rutland and Northamptonshire",UKF2,2014-12,35.1
"Leicestershire, Rutland and Northamptonshire",UKF2,2015-12,35.2
"Leicestershire, Rutland and Northamptonshire",UKF2,2016-12,35.6
"Leicestershire, Rutland and Northamptonshire",UKF2,2017-12,37.6
"Leicestershire, Rutland and Northamptonshire",UKF2,2018-12,38.5
Lincolnshire,UKF3,2012-12,28.8
Lincolnshire,UKF3,2013-12,29.9
Lincolnshire,UKF3,2014-12,28.3
Lincolnshire,UKF3,2015-12,30.9
Lincolnshire,UKF3,2016-12,31.1
Lincolnshire,UKF3,2017-12,31.7
Lincolnshire,UKF3,2018-12,33.1
Merseyside,UKD7,2012-12,30.3
Merseyside,UKD7,2013-12,32.3
Merseyside,UKD7,2014-12,32.7
Merseyside,UKD7,2015-12,34.0
Merseyside,UKD7,2016-12,36.8
Merseyside,UKD7,2017-12,36.5
Merseyside,UKD7,2018-12,38.2
North Eastern Scotland,UKM5,2012-12,41.9
North Eastern Scotland,UKM5,2013-12,43.5
North Eastern Scotland,UKM5,2014-12,47.4
North Eastern Scotland,UKM5,2015-12,49.7
North Eastern Scotland,UKM5,2016-12,50.0
North Eastern Scotland,UKM5,2017-12,48.9
North Eastern Scotland,UKM5,2018-12,48.8
North Yorkshire,UKE2,2012-12,40.6
North Yorkshire,UKE2,2013-12,42.3
North Yorkshire,UKE2,2014-12,40.8
North Yorkshire,UKE2,2015-12,41.1
North Yorkshire,UKE2,2016-12,40.2
North Yorkshire,UKE2,2017-12,41.8
North Yorkshire,UKE2,2018-12,45.2
Northumberland and Tyne and Wear,UKC2,2012-12,32.5
Northumberland and Tyne and Wear,UKC2,2013-12,33.8
Northumberland and Tyne and Wear,UKC2,2014-12,33.1
Northumberland and Tyne and Wear,UKC2,2015-12,35.3
Northumberland and Tyne and Wear,UKC2,2016-12,36.2
Northumberland and Tyne and Wear,UKC2,2017-12,37.9
Northumberland and Tyne and Wear,UKC2,2018-12,36.9
Outer London - East and North East,UKI5,2012-12,39.9
Outer London - East and North East,UKI5,2013-12,43.2
Outer London - East and North East,UKI5,2014-12,43.8
Outer London - East and North East,UKI5,2015-12,44.5
Outer London - East and North East,UKI5,2016-12,45.9
Outer London - East and North East,UKI5,2017-12,46.0
Outer London - East and North East,UKI5,2018-12,48.9
Outer London - South,UKI6,2012-12,48.0
Outer London - South,UKI6,2013-12,51.4
Outer London - South,UKI6,2014-12,51.1
Outer London - South,UKI6,2015-12,51.6
Outer London - South,UKI6,2016-12,55.8
Outer London - South,UKI6,2017-12,54.7
Outer London - South,UKI6,2018-12,55.9
Outer London - West and North West,UKI7,2012-12,51.6
Outer London - West and North West,UKI7,2013-12,53.4
Outer London - West and North West,UKI7,2014-12,54.5
Outer London - West and North West,UKI7,2015-12,55.1
Outer London - West and North West,UKI7,2016-12,58.0
Outer London - West and North West,UKI7,2017-12,54.5
Outer London - West and North West,UKI7,2018-12,56.5
Shropshire and Staffordshire,UKG2,2012-12,29.5
Shropshire and Staffordshire,UKG2,2013-12,30.9
Shropshire and Staffordshire,UKG2,2014-12,31.4
Shropshire and Staffordshire,UKG2,2015-12,33.0
Shropshire and Staffordshire,UKG2,2016-12,33.3
Shropshire and Staffordshire,UKG2,2017-12,33.5
Shropshire and Staffordshire,UKG2,2018-12,36.0
South Yorkshire,UKE3,2012-12,31.9
South Yorkshire,UKE3,2013-12,32.2
South Yorkshire,UKE3,2014-12,32.2
South Yorkshire,UKE3,2015-12,32.7
South Yorkshire,UKE3,2016-12,35.2
South Yorkshire,UKE3,2017-12,37.0
South Yorkshire,UKE3,2018-12,37.8
Southern Scotland,UKM9,2012-12,35.8
Southern Scotland,UKM9,2013-12,37.2
Southern Scotland,UKM9,2014-12,39.3
Southern Scotland,UKM9,2015-12,40.5
Southern Scotland,UKM9,2016-12,42.3
Southern Scotland,UKM9,2017-12,43.5
Southern Scotland,UKM9,2018-12,43.5
"Surrey, East and West Sussex",UKJ2,2012-12,42.0
"Surrey, East and West Sussex",UKJ2,2013-12,43.5
"Surrey, East and West Sussex",UKJ2,2014-12,43.3
"Surrey, East and West Sussex",UKJ2,2015-12,44.9
"Surrey, East and West Sussex",UKJ2,2016-12,46.5
"Surrey, East and West Sussex",UKJ2,2017-12,46.8
"Surrey, East and West Sussex",UKJ2,2018-12,48.9
Tees Valley and Durham,UKC1,2012-12,29.0
Tees Valley and Durham,UKC1,2013-12,30.2
Tees Valley and Durham,UKC1,2014-12,31.9
Tees Valley and Durham,UKC1,2015-12,34.4
Tees Valley and Durham,UKC1,2016-12,35.9
Tees Valley and Durham,UKC1,2017-12,35.0
Tees Valley and Durham,UKC1,2018-12,34.9
West Central Scotland,UKM8,2012-12,43.3
West Central Scotland,UKM8,2013-12,44.5
West Central Scotland,UKM8,2014-12,46.1
West Central Scotland,UKM8,2015-12,49.0
West Central Scotland,UKM8,2016-12,48.4
West Central Scotland,UKM8,2017-12,48.8
West Central Scotland,UKM8,2018-12,47.8
West Midlands,UKG3,2012-12,31.1
West Midlands,UKG3,2013-12,30.7
West Midlands,UKG3,2014-12,32.7
West Midlands,UKG3,2015-12,34.2
West Midlands,UKG3,2016-12,34.7
West Midlands,UKG3,2017-12,34.1
West Midlands,UKG3,2018-12,36.0
West Wales,UKL1,2012-12,32.4
West Wales,UKL1,2013-12,33.1
West Wales,UKL1,2014-12,34.5
West Wales,UKL1,2015-12,35.7
West Wales,UKL1,2016-12,37.7
West Wales,UKL1,2017-12,36.4
West Wales,UKL1,2018-12,36.4
West Yorkshire,UKE4,2012-12,34.0
West Yorkshire,UKE4,2013-12,33.6
West Yorkshire,UKE4,2014-12,34.0
West Yorkshire,UKE4,2015-12,35.1
West Yorkshire,UKE4,2016-12,34.6
West Yorkshire,UKE4,2017-12,36.7
West Yorkshire,UKE4,2018-12,37.7
