,year,nuts_id,nuts_year_spec,aps_econ_active_stem_density_data
219,2014,UKG2,2016,4.0
220,2015,UKG2,2016,4.0
221,2016,UKG2,2016,3.9
222,2017,UKG2,2016,4.2
223,2018,UKG2,2016,5.0
224,2012,UKE3,2016,4.4
225,2013,UKE3,2016,4.4
226,2014,UKE3,2016,3.7
227,2015,UKE3,2016,3.5
228,2016,UKE3,2016,3.8
229,2017,UKE3,2016,5.1
230,2018,UKE3,2016,5.5
231,2012,UKM9,2016,2.9
232,2013,UKM9,2016,3.4
233,2014,UKM9,2016,3.6
234,2015,UKM9,2016,3.6
235,2016,UKM9,2016,4.4
236,2017,UKM9,2016,4.7
237,2018,UKM9,2016,3.8
238,2012,UKJ2,2016,6.5
239,2013,UKJ2,2016,6.2
240,2014,UKJ2,2016,5.8
241,2015,UKJ2,2016,6.4
242,2016,UKJ2,2016,7.2
243,2017,UKJ2,2016,7.4
244,2018,UKJ2,2016,7.3
245,2012,UKC1,2016,3.6
246,2013,UKC1,2016,3.9
247,2014,UKC1,2016,4.0
248,2015,UKC1,2016,4.2
249,2016,UKC1,2016,4.8
250,2017,UKC1,2016,4.1
251,2018,UKC1,2016,3.7
252,2012,UKM8,2016,4.4
253,2013,UKM8,2016,4.7
254,2014,UKM8,2016,4.7
255,2015,UKM8,2016,4.9
256,2016,UKM8,2016,5.4
257,2017,UKM8,2016,5.8
258,2018,UKM8,2016,5.9
259,2012,UKG3,2016,3.4
260,2013,UKG3,2016,3.2
261,2014,UKG3,2016,4.0
262,2015,UKG3,2016,4.4
263,2016,UKG3,2016,4.5
264,2017,UKG3,2016,4.6
265,2018,UKG3,2016,5.3
266,2012,UKL1,2016,3.0
267,2013,UKL1,2016,3.0
268,2014,UKL1,2016,3.1
269,2015,UKL1,2016,3.1
270,2016,UKL1,2016,3.2
271,2017,UKL1,2016,3.6
272,2018,UKL1,2016,3.2
273,2012,UKE4,2016,4.1
274,2013,UKE4,2016,4.4
275,2014,UKE4,2016,4.1
276,2015,UKE4,2016,4.1
277,2016,UKE4,2016,4.8
278,2017,UKE4,2016,4.1
279,2018,UKE4,2016,4.7
