,NUTS218CD,NUTS218NM,year,total_sales
43,UKD4,Lancashire,2013,2308550835.27154
44,UKD4,Lancashire,2014,2879106980.83468
45,UKD4,Lancashire,2015,2996444102.08225
46,UKD4,Lancashire,2016,3260035479.1500497
47,UKD4,Lancashire,2017,3490798312.3167295
48,UKD4,Lancashire,2018,3520116572.9001493
50,UKD6,Cheshire,2010,1703585122.0165
51,UKD6,Cheshire,2011,1741364901.3277001
52,UKD6,Cheshire,2012,1746580116.4053996
53,UKD6,Cheshire,2013,2220218360.769
54,UKD6,Cheshire,2014,2876421830.1352
55,UKD6,Cheshire,2015,3109007775.9070997
56,UKD6,Cheshire,2016,3313949889.4611006
57,UKD6,Cheshire,2017,3530376183.8877
58,UKD6,Cheshire,2018,3550643151.5107102
60,UKD7,Merseyside,2010,1504883094.4613998
61,UKD7,Merseyside,2011,1536238907.5614
62,UKD7,Merseyside,2012,1484658093.3607
63,UKD7,Merseyside,2013,1924056479.8316002
64,UKD7,Merseyside,2014,2486104139.9826
65,UKD7,Merseyside,2015,2581459904.8357
66,UKD7,Merseyside,2016,2853536733.1527004
67,UKD7,Merseyside,2017,3209877668.5333
68,UKD7,Merseyside,2018,3288565222.3661504
70,UKE1,East Yorkshire and Northern Lincolnshire,2010,1237493831.2738998
71,UKE1,East Yorkshire and Northern Lincolnshire,2011,1242589884.3354702
72,UKE1,East Yorkshire and Northern Lincolnshire,2012,1201486088.35395
73,UKE1,East Yorkshire and Northern Lincolnshire,2013,1447076228.8053901
74,UKE1,East Yorkshire and Northern Lincolnshire,2014,1798631732.94731
75,UKE1,East Yorkshire and Northern Lincolnshire,2015,1889423966.64149
76,UKE1,East Yorkshire and Northern Lincolnshire,2016,2000594303.53648
77,UKE1,East Yorkshire and Northern Lincolnshire,2017,2241909883.3779
78,UKE1,East Yorkshire and Northern Lincolnshire,2018,2285710200.82486
80,UKE2,North Yorkshire,2010,1946452813.1962001
81,UKE2,North Yorkshire,2011,1950643072.6871998
82,UKE2,North Yorkshire,2012,1962085367.7479
83,UKE2,North Yorkshire,2013,2380098370.2093997
84,UKE2,North Yorkshire,2014,2943263180.1447
85,UKE2,North Yorkshire,2015,3006821345.7485
86,UKE2,North Yorkshire,2016,3149284817.0167
87,UKE2,North Yorkshire,2017,3407160769.0481997
88,UKE2,North Yorkshire,2018,3367614084.6511
90,UKE3,South Yorkshire,2010,1479494861.848
91,UKE3,South Yorkshire,2011,1474353112.3679
92,UKE3,South Yorkshire,2012,1491685053.9864001
93,UKE3,South Yorkshire,2013,1796867251.92867
94,UKE3,South Yorkshire,2014,2289069075.8178997
95,UKE3,South Yorkshire,2015,2347220930.6413
96,UKE3,South Yorkshire,2016,2515401773.5749
97,UKE3,South Yorkshire,2017,2704453635.0937
98,UKE3,South Yorkshire,2018,2773213794.4314804
100,UKE4,West Yorkshire,2010,2884629509.3644
101,UKE4,West Yorkshire,2011,2737521373.3018003
102,UKE4,West Yorkshire,2012,2804387233.2431
103,UKE4,West Yorkshire,2013,3424156790.898999
104,UKE4,West Yorkshire,2014,4434137163.7738
105,UKE4,West Yorkshire,2015,4650077624.6017
106,UKE4,West Yorkshire,2016,5102944012.4764
107,UKE4,West Yorkshire,2017,5435143334.9972
108,UKE4,West Yorkshire,2018,5542389348.461161
110,UKF1,Derbyshire and Nottinghamshire,2010,3201982884.06596
111,UKF1,Derbyshire and Nottinghamshire,2011,3122023495.8029795
112,UKF1,Derbyshire and Nottinghamshire,2012,3191449530.7278094
113,UKF1,Derbyshire and Nottinghamshire,2013,3879607562.9406095
114,UKF1,Derbyshire and Nottinghamshire,2014,4900060365.125739
115,UKF1,Derbyshire and Nottinghamshire,2015,5136283679.23435
116,UKF1,Derbyshire and Nottinghamshire,2016,5708620587.302
117,UKF1,Derbyshire and Nottinghamshire,2017,5978071566.881699
118,UKF1,Derbyshire and Nottinghamshire,2018,6226861337.584011
120,UKF2,"Leicestershire, Rutland and Northamptonshire",2010,3166601738.6689997
121,UKF2,"Leicestershire, Rutland and Northamptonshire",2011,3138103391.7891994
122,UKF2,"Leicestershire, Rutland and Northamptonshire",2012,3236670689.7934003
123,UKF2,"Leicestershire, Rutland and Northamptonshire",2013,4032469328.3545
124,UKF2,"Leicestershire, Rutland and Northamptonshire",2014,5430932381.183499
125,UKF2,"Leicestershire, Rutland and Northamptonshire",2015,5798655212.5383
126,UKF2,"Leicestershire, Rutland and Northamptonshire",2016,6424523788.197001
127,UKF2,"Leicestershire, Rutland and Northamptonshire",2017,6724843500.0963
128,UKF2,"Leicestershire, Rutland and Northamptonshire",2018,6856187397.000079
130,UKF3,Lincolnshire,2010,1336730841.0633001
131,UKF3,Lincolnshire,2011,1318771499.2972999
132,UKF3,Lincolnshire,2012,1319608070.5794
133,UKF3,Lincolnshire,2013,1669457181.8523002
134,UKF3,Lincolnshire,2014,2081259684.1971002
135,UKF3,Lincolnshire,2015,2202338198.8326
136,UKF3,Lincolnshire,2016,2357691841.2535005
137,UKF3,Lincolnshire,2017,2459477408.9819
138,UKF3,Lincolnshire,2018,2527398345.25685
140,UKG1,"Herefordshire, Worcestershire and Warwickshire",2010,2884743380.1188006
141,UKG1,"Herefordshire, Worcestershire and Warwickshire",2011,2927212792.9561
142,UKG1,"Herefordshire, Worcestershire and Warwickshire",2012,2994686841.3669004
143,UKG1,"Herefordshire, Worcestershire and Warwickshire",2013,3609390375.3043
144,UKG1,"Herefordshire, Worcestershire and Warwickshire",2014,4674496441.002
145,UKG1,"Herefordshire, Worcestershire and Warwickshire",2015,4906690825.4315
146,UKG1,"Herefordshire, Worcestershire and Warwickshire",2016,5316815084.2646
147,UKG1,"Herefordshire, Worcestershire and Warwickshire",2017,5674755256.0399
148,UKG1,"Herefordshire, Worcestershire and Warwickshire",2018,5875064278.308068
150,UKG2,Shropshire and Staffordshire,2010,2333120253.4867897
151,UKG2,Shropshire and Staffordshire,2011,2257137327.59564
152,UKG2,Shropshire and Staffordshire,2012,2388897491.0074296
153,UKG2,Shropshire and Staffordshire,2013,2968794349.42101
154,UKG2,Shropshire and Staffordshire,2014,3720315406.3208303
155,UKG2,Shropshire and Staffordshire,2015,3956675782.1867895
156,UKG2,Shropshire and Staffordshire,2016,4389487582.155359
157,UKG2,Shropshire and Staffordshire,2017,4763301902.071599
158,UKG2,Shropshire and Staffordshire,2018,4803940406.324949
160,UKG3,West Midlands,2010,3289635271.7978997
161,UKG3,West Midlands,2011,3225589681.2676997
162,UKG3,West Midlands,2012,3164867328.9498997
163,UKG3,West Midlands,2013,3863202963.0044994
164,UKG3,West Midlands,2014,4939660822.1339
165,UKG3,West Midlands,2015,5390509378.163
166,UKG3,West Midlands,2016,5951302630.9121
167,UKG3,West Midlands,2017,6287980264.6793995
168,UKG3,West Midlands,2018,6621192029.89398
170,UKH1,East Anglia,2010,5824943040.5338
171,UKH1,East Anglia,2011,5889207177.051001
172,UKH1,East Anglia,2012,5940939318.7897005
173,UKH1,East Anglia,2013,7307315046.753401
174,UKH1,East Anglia,2014,9239629917.0505
175,UKH1,East Anglia,2015,9438786744.209799
176,UKH1,East Anglia,2016,10215487071.305298
177,UKH1,East Anglia,2017,10615453320.479898
178,UKH1,East Anglia,2018,10448693504.462189
180,UKH2,Bedfordshire and Hertfordshire,2010,5462313424.1058
181,UKH2,Bedfordshire and Hertfordshire,2011,5396219142.9275
182,UKH2,Bedfordshire and Hertfordshire,2012,5629063209.3523
183,UKH2,Bedfordshire and Hertfordshire,2013,6945992349.8824
184,UKH2,Bedfordshire and Hertfordshire,2014,8957312992.1843
185,UKH2,Bedfordshire and Hertfordshire,2015,9732183142.9156
186,UKH2,Bedfordshire and Hertfordshire,2016,10281714895.3246
187,UKH2,Bedfordshire and Hertfordshire,2017,10232674327.914799
188,UKH2,Bedfordshire and Hertfordshire,2018,9737320451.59287
190,UKH3,Essex,2010,4634943051.9458
191,UKH3,Essex,2011,4617443639.388499
192,UKH3,Essex,2012,4746268289.543701
193,UKH3,Essex,2013,5824731281.266601
194,UKH3,Essex,2014,7767732227.1546
195,UKH3,Essex,2015,8613839483.624699
196,UKH3,Essex,2016,9368713697.605198
197,UKH3,Essex,2017,9471443319.435299
198,UKH3,Essex,2018,9405088318.15055
200,UKI3,Inner London - West,2010,8950427791.568302
201,UKI3,Inner London - West,2011,9317422152.4403
202,UKI3,Inner London - West,2012,9661302793.1635
203,UKI3,Inner London - West,2013,12890647238.3942
204,UKI3,Inner London - West,2014,14531761420.540197
205,UKI3,Inner London - West,2015,13127183322.0386
206,UKI3,Inner London - West,2016,11802124296.517
207,UKI3,Inner London - West,2017,11692391217.251099
208,UKI3,Inner London - West,2018,10244903373.98407
210,UKI4,Inner London - East,2010,6563028438.0871
211,UKI4,Inner London - East,2011,6561796600.689899
212,UKI4,Inner London - East,2012,7534419173.943299
213,UKI4,Inner London - East,2013,9902701724.0899
214,UKI4,Inner London - East,2014,12388679787.133799
215,UKI4,Inner London - East,2015,12717020949.249
216,UKI4,Inner London - East,2016,12667638929.331001
217,UKI4,Inner London - East,2017,11680871356.6129
218,UKI4,Inner London - East,2018,10835744689.09183
220,UKI5,Outer London - East and North East,2010,3793216020.6655
221,UKI5,Outer London - East and North East,2011,3738537115.5243
222,UKI5,Outer London - East and North East,2012,3980689830.6454005
223,UKI5,Outer London - East and North East,2013,5220651638.1464
224,UKI5,Outer London - East and North East,2014,7318444684.0203
225,UKI5,Outer London - East and North East,2015,8028489404.7206
226,UKI5,Outer London - East and North East,2016,8123114658.6729
227,UKI5,Outer London - East and North East,2017,7862433785.6682
228,UKI5,Outer London - East and North East,2018,7606154207.313419
230,UKI6,Outer London - South,2010,4011237378.0686007
231,UKI6,Outer London - South,2011,4008002464.3033
232,UKI6,Outer London - South,2012,4428753576.1765995
233,UKI6,Outer London - South,2013,5628767922.061199
234,UKI6,Outer London - South,2014,7381301600.243499
235,UKI6,Outer London - South,2015,7746213647.825299
236,UKI6,Outer London - South,2016,7698275941.318399
237,UKI6,Outer London - South,2017,7403825283.7414
238,UKI6,Outer London - South,2018,6839621002.640959
240,UKI7,Outer London - West and North West,2010,6403738485.9715
241,UKI7,Outer London - West and North West,2011,6348001544.536699
242,UKI7,Outer London - West and North West,2012,6820757207.642799
243,UKI7,Outer London - West and North West,2013,8301242620.6147
244,UKI7,Outer London - West and North West,2014,10035589697.6562
245,UKI7,Outer London - West and North West,2015,11285640320.9456
246,UKI7,Outer London - West and North West,2016,11145774497.9694
247,UKI7,Outer London - West and North West,2017,9866308795.143301
248,UKI7,Outer London - West and North West,2018,9319068011.94841
250,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2010,7622222600.1354
251,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2011,7338828868.4659
252,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2012,7783209636.5393
253,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2013,9777328064.3904
254,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2014,12243148721.123701
255,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2015,13093930204.5115
256,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2016,13700072686.478403
257,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2017,13654016200.3784
258,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2018,13198527849.445549
260,UKJ2,"Surrey, East and West Sussex",2010,10877896980.716297
261,UKJ2,"Surrey, East and West Sussex",2011,10801998529.501701
262,UKJ2,"Surrey, East and West Sussex",2012,11304822213.6568
263,UKJ2,"Surrey, East and West Sussex",2013,13812572485.981699
264,UKJ2,"Surrey, East and West Sussex",2014,17088496760.183102
265,UKJ2,"Surrey, East and West Sussex",2015,17698137028.6077
266,UKJ2,"Surrey, East and West Sussex",2016,18146593970.6264
267,UKJ2,"Surrey, East and West Sussex",2017,17735477210.9305
268,UKJ2,"Surrey, East and West Sussex",2018,17001561861.328978
270,UKJ3,Hampshire and Isle of Wight,2010,5308920908.6128
271,UKJ3,Hampshire and Isle of Wight,2011,5166605121.0824
272,UKJ3,Hampshire and Isle of Wight,2012,5340239579.8483
273,UKJ3,Hampshire and Isle of Wight,2013,6557546869.5323
274,UKJ3,Hampshire and Isle of Wight,2014,8398775608.815101
275,UKJ3,Hampshire and Isle of Wight,2015,8963957464.8651
276,UKJ3,Hampshire and Isle of Wight,2016,9302142065.980501
277,UKJ3,Hampshire and Isle of Wight,2017,9601166151.4462
278,UKJ3,Hampshire and Isle of Wight,2018,9405387036.865501
280,UKJ4,Kent,2010,4349171428.5258
281,UKJ4,Kent,2011,4370771897.7557
282,UKJ4,Kent,2012,4511505136.2739
283,UKJ4,Kent,2013,5481731452.734599
284,UKJ4,Kent,2014,7270411583.5706005
285,UKJ4,Kent,2015,7957509604.693298
286,UKJ4,Kent,2016,8721341886.331299
287,UKJ4,Kent,2017,9103726404.4711
288,UKJ4,Kent,2018,8701221016.76994
290,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2010,6167573122.2974
291,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2011,5976979496.7981
292,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2012,6273120122.077299
293,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2013,7709994109.559399
294,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2014,9942106548.6744
295,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2015,10502443843.682901
296,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2016,11532243484.569202
297,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2017,11851051482.5972
298,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2018,11794506441.59391
300,UKK2,Dorset and Somerset,2010,3867235050.5421
301,UKK2,Dorset and Somerset,2011,3791790421.2146
302,UKK2,Dorset and Somerset,2012,3754215402.638799
303,UKK2,Dorset and Somerset,2013,4610339525.5636
304,UKK2,Dorset and Somerset,2014,5780266473.43
305,UKK2,Dorset and Somerset,2015,6052605122.214101
306,UKK2,Dorset and Somerset,2016,6499031329.9108
307,UKK2,Dorset and Somerset,2017,6696784780.4331
308,UKK2,Dorset and Somerset,2018,6475015817.696349
310,UKK3,Cornwall and Isles of Scilly,2010,1497576753.5077
311,UKK3,Cornwall and Isles of Scilly,2011,1405370016.4214
312,UKK3,Cornwall and Isles of Scilly,2012,1444885146.2652998
313,UKK3,Cornwall and Isles of Scilly,2013,1658271275.6403003
314,UKK3,Cornwall and Isles of Scilly,2014,2077348364.6915
315,UKK3,Cornwall and Isles of Scilly,2015,2178629051.3079996
316,UKK3,Cornwall and Isles of Scilly,2016,2312506635.4887
317,UKK3,Cornwall and Isles of Scilly,2017,2464914907.1044
318,UKK3,Cornwall and Isles of Scilly,2018,2373038616.21273
320,UKK4,Devon,2010,3250508138.2544
321,UKK4,Devon,2011,3064349921.9702
322,UKK4,Devon,2012,3209462239.0836
323,UKK4,Devon,2013,3773755534.1478004
324,UKK4,Devon,2014,4574665272.8411
325,UKK4,Devon,2015,4876914520.4941
326,UKK4,Devon,2016,5108463393.2702
327,UKK4,Devon,2017,5258652911.274701
328,UKK4,Devon,2018,5200501049.1264305
330,UKL1,West Wales and The Valleys,2010,2336207747.1471996
331,UKL1,West Wales and The Valleys,2011,2252639236.17629
332,UKL1,West Wales and The Valleys,2012,2213686268.7275004
333,UKL1,West Wales and The Valleys,2013,2651134983.89702
334,UKL1,West Wales and The Valleys,2014,3239727395.00161
335,UKL1,West Wales and The Valleys,2015,3384888916.1499095
336,UKL1,West Wales and The Valleys,2016,3621638914.3555794
337,UKL1,West Wales and The Valleys,2017,4080523559.35994
338,UKL1,West Wales and The Valleys,2018,4192472691.8445916
340,UKL2,East Wales,2010,1773601576.1106997
341,UKL2,East Wales,2011,1742362101.4028
342,UKL2,East Wales,2012,1789114867.7593
343,UKL2,East Wales,2013,2180753048.5639
344,UKL2,East Wales,2014,2795076015.3315
345,UKL2,East Wales,2015,2930592956.8217
346,UKL2,East Wales,2016,3252911506.1047997
347,UKL2,East Wales,2017,3457696121.5754
348,UKL2,East Wales,2018,3589217993.08567
350,UKM5,North Eastern Scotland,2010,1471079207.2277002
351,UKM5,North Eastern Scotland,2011,1450326089.7936
352,UKM5,North Eastern Scotland,2012,1527479046.7484999
353,UKM5,North Eastern Scotland,2013,1877595665.3818002
354,UKM5,North Eastern Scotland,2014,2155596742.7024
355,UKM5,North Eastern Scotland,2015,1964056727.2002997
356,UKM5,North Eastern Scotland,2016,1455114262.5425
357,UKM5,North Eastern Scotland,2017,1456812177.9976
358,UKM5,North Eastern Scotland,2018,1366474817.8793797
360,UKM6,Highlands and Islands,2010,3949315186.8142195
361,UKM6,Highlands and Islands,2011,3381287779.07063
362,UKM6,Highlands and Islands,2012,3453417614.47151
363,UKM6,Highlands and Islands,2013,3949447732.0358706
364,UKM6,Highlands and Islands,2014,4741900800.31687
365,UKM6,Highlands and Islands,2015,4854244567.187711
366,UKM6,Highlands and Islands,2016,5282882311.80305
367,UKM6,Highlands and Islands,2017,5702718409.216771
368,UKM6,Highlands and Islands,2018,5728411216.365769
370,UKM7,Eastern Scotland,2010,3200514114.8639
371,UKM7,Eastern Scotland,2011,2937465514.1143
372,UKM7,Eastern Scotland,2012,3121855890.52796
373,UKM7,Eastern Scotland,2013,3764439221.55746
374,UKM7,Eastern Scotland,2014,4446374802.03969
375,UKM7,Eastern Scotland,2015,5046545810.3784
376,UKM7,Eastern Scotland,2016,5152902853.616701
377,UKM7,Eastern Scotland,2017,5516785468.710199
378,UKM7,Eastern Scotland,2018,5566929978.36753
380,UKM8,West Central Scotland,2010,2279164930.59748
381,UKM8,West Central Scotland,2011,2177067719.70886
382,UKM8,West Central Scotland,2012,2171592593.02554
383,UKM8,West Central Scotland,2013,2496617379.11768
384,UKM8,West Central Scotland,2014,2923926863.4989796
385,UKM8,West Central Scotland,2015,3307236100.9901905
386,UKM8,West Central Scotland,2016,3483660180.6198797
387,UKM8,West Central Scotland,2017,3749076621.4815207
388,UKM8,West Central Scotland,2018,3851731577.649967
390,UKM9,Southern Scotland,2010,1443625485.68046
391,UKM9,Southern Scotland,2011,1359755852.6468
392,UKM9,Southern Scotland,2012,1304217117.74402
393,UKM9,Southern Scotland,2013,1434240495.02742
394,UKM9,Southern Scotland,2014,1648472869.00238
395,UKM9,Southern Scotland,2015,1805570129.8763301
396,UKM9,Southern Scotland,2016,1920575227.0526
397,UKM9,Southern Scotland,2017,2161263951.90329
398,UKM9,Southern Scotland,2018,2251121808.096507
400,UKN0,Northern Ireland,2010,4241036581.4073
401,UKN0,Northern Ireland,2011,3918050444.7134404
402,UKN0,Northern Ireland,2012,4211230269.6315
403,UKN0,Northern Ireland,2013,5023788990.789661
404,UKN0,Northern Ireland,2014,6913989336.895828
405,UKN0,Northern Ireland,2015,7644637539.992971
406,UKN0,Northern Ireland,2016,8524907552.250599
407,UKN0,Northern Ireland,2017,9471711145.9584
408,UKN0,Northern Ireland,2018,9919612265.972029
