,year,nuts_id,nuts_year_spec,eurostat_private_non_profit_rd_workforce_datad_pnpberd
127,2014,UKM3,2013,248000.0
128,2015,UKM3,2013,33067000.0
129,2016,UKM3,2013,32215000.000000004
130,2012,UKE3,2013,1850000.0
131,2014,UKE3,2013,1861000.0
132,2013,UKE3,2013,1648000.0
133,2015,UKE3,2013,4960000.0
134,2016,UKE3,2013,4759000.0
135,2012,UKJ2,2013,73375000.0
136,2014,UKJ2,2013,15135000.0
137,2013,UKJ2,2013,13423000.0
138,2015,UKJ2,2013,96859000.0
139,2016,UKJ2,2013,94448000.0
140,2012,UKC1,2013,24911000.0
141,2014,UKC1,2013,18112000.0
142,2015,UKC1,2013,46294000.0
143,2016,UKC1,2013,45150000.0
144,2012,UKG3,2013,370000.0
145,2014,UKG3,2013,124000.0
146,2012,UKL1,2013,1850000.0
147,2014,UKL1,2013,1861000.0
148,2012,UKE4,2013,0.0
149,2014,UKE4,2013,3722000.0
150,2015,UKE4,2013,138000.0
151,2016,UKE4,2013,122000.0
