,year,nuts_id,nuts_year_spec,eurostat_berd_data
179,2016,UKJ2,2013,1286882000.0
180,2012,UKC1,2013,142804000.0
181,2013,UKC1,2013,156246000.0
182,2014,UKC1,2013,150354000.0
183,2015,UKC1,2013,174979000.0
184,2016,UKC1,2013,118975000.0
185,2012,UKG3,2013,594278000.0
186,2013,UKG3,2013,801248000.0
187,2014,UKG3,2013,935988000.0
188,2015,UKG3,2013,1103472000.0
189,2016,UKG3,2013,1135693000.0
190,2012,UKL1,2013,74732000.0
191,2013,UKL1,2013,75121000.0
192,2014,UKL1,2013,185337000.0
193,2015,UKL1,2013,228575000.0
194,2016,UKL1,2013,224039000.0
195,2012,UKE4,2013,276236000.0
196,2013,UKE4,2013,343106000.0
197,2014,UKE4,2013,371914000.0
198,2015,UKE4,2013,417470000.0
199,2016,UKE4,2013,369738000.0
