geo,time,% of active population- FTE,% of active population- HC,Full time equivalent (FTE),Head Count(HC)
Dorset and Somerset,2014,0.3905,0.5128,2558.0,3359.0
Dorset and Somerset,2015,0.4242,0.5594,2791.0,3680.0
Dorset and Somerset,2016,0.4525,0.5886,2884.0,3751.0
East Anglia,2012,1.1783,1.3666,14623.0,16960.0
East Anglia,2013,1.2613,1.4904,15536.0,18357.0
East Anglia,2014,1.3325,1.6078,16993.0,20504.0
East Anglia,2015,1.4294,1.7815,18162.0,22636.0
East Anglia,2016,1.4721,1.819,18835.0,23274.0
East Riding and North Lincolnshire,2012,0.0,0.3811,0.0,1726.0
East Riding and North Lincolnshire,2013,0.317,0.495,1463.0,2284.0
East Riding and North Lincolnshire,2014,0.3615,0.5567,1662.0,2559.0
East Riding and North Lincolnshire,2015,0.3701,0.5529,1657.0,2476.0
East Riding and North Lincolnshire,2016,0.3683,0.5709,1678.0,2601.0
East Wales,2012,0.4344,0.6128,2444.0,3448.0
East Wales,2013,0.5489,0.7761,3175.0,4489.0
East Wales,2014,0.3941,0.5794,2225.0,3272.0
East Wales,2015,0.3914,0.6188,2183.0,3451.0
East Wales,2016,0.429,0.7163,2397.0,4001.0
Eastern Scotland,2012,0.3924,0.1494,4089.0,1557.0
Eastern Scotland,2013,,,4942.0,1602.0
Eastern Scotland,2014,,,4961.0,2465.0
Eastern Scotland,2015,,,5917.0,8294.0
Eastern Scotland,2016,,,5972.0,9389.0
Essex,2012,0.6255,0.7255,5577.0,6468.0
Essex,2013,0.6194,0.7319,5550.0,6558.0
Essex,2014,0.67,0.8084,5818.0,7019.0
Essex,2015,0.6369,0.7938,5803.0,7233.0
Essex,2016,0.6733,0.832,6091.0,7527.0
"Gloucestershire, Wiltshire and Bristol/Bath area",2012,0.9413,1.1693,11608.0,14420.0
"Gloucestershire, Wiltshire and Bristol/Bath area",2013,0.9712,1.2316,12134.0,15387.0
"Gloucestershire, Wiltshire and Bristol/Bath area",2014,0.9483,1.2455,11896.0,15623.0
"Gloucestershire, Wiltshire and Bristol/Bath area",2015,0.9513,1.2546,12243.0,16145.0
"Gloucestershire, Wiltshire and Bristol/Bath area",2016,1.0157,1.3213,13237.0,17220.0
Greater Manchester,2012,0.2395,0.3242,3215.0,4353.0
Greater Manchester,2013,0.2376,0.3145,3187.0,4220.0
Greater Manchester,2014,0.277,0.3841,3813.0,5287.0
Greater Manchester,2015,0.3372,0.4522,4641.0,6224.0
Greater Manchester,2016,0.3392,0.4929,4727.0,6868.0
Hampshire and Isle of Wight,2012,0.829,1.0355,8098.0,10115.0
Hampshire and Isle of Wight,2013,0.8739,1.1211,8692.0,11151.0
Hampshire and Isle of Wight,2014,0.8486,1.1095,8623.0,11274.0
Hampshire and Isle of Wight,2015,0.9394,1.1794,9426.0,11834.0
Hampshire and Isle of Wight,2016,0.8235,1.1396,8270.0,11444.0
"Herefordshire, Worcestershire and Warwickshire",2012,1.0553,1.3486,7189.0,9187.0
"Herefordshire, Worcestershire and Warwickshire",2013,1.1169,1.3858,7559.0,9379.0
"Herefordshire, Worcestershire and Warwickshire",2014,1.3245,1.7777,8980.0,12053.0
"Herefordshire, Worcestershire and Warwickshire",2015,1.3652,1.8225,9239.0,12333.0
"Herefordshire, Worcestershire and Warwickshire",2016,1.2839,1.6906,8779.0,11560.0
Highlands and Islands,2012,0.1133,0.1506,336.0,446.0
Highlands and Islands,2013,0.1444,0.1919,353.0,469.0
Highlands and Islands,2014,0.1261,0.1804,298.0,426.0
Highlands and Islands,2015,0.1421,0.1993,332.0,465.0
Highlands and Islands,2016,0.1431,0.2251,314.0,494.0
Inner London - East,2012,0.1368,0.1973,1633.0,2355.0
Inner London - East,2013,0.2211,0.3162,2771.0,3962.0
Inner London - East,2014,0.3063,0.4558,3917.0,5829.0
Inner London - East,2015,0.292,0.417,3837.0,5481.0
Inner London - East,2016,0.2684,0.4188,3567.0,5565.0
Inner London - West,2012,0.8217,1.1852,4948.0,7137.0
Inner London - West,2013,1.0706,1.5306,6415.0,9171.0
Inner London - West,2014,1.2335,1.8354,7868.0,11708.0
Inner London - West,2015,1.4039,2.0053,8946.0,12778.0
Inner London - West,2016,1.4497,2.2621,9562.0,14921.0
Kent,2012,0.3791,0.4735,3232.0,4037.0
Kent,2013,0.3272,0.4197,2856.0,3664.0
Kent,2014,0.3422,0.4474,3014.0,3941.0
Kent,2015,0.3682,0.4623,3339.0,4193.0
Kent,2016,0.345,0.4774,3094.0,4281.0
Lancashire,2012,0.3569,0.4832,2561.0,3467.0
Lancashire,2013,0.3687,0.4882,2541.0,3365.0
Lancashire,2014,0.3729,0.5171,2604.0,3612.0
Lancashire,2015,0.4253,0.5703,3059.0,4103.0
Lancashire,2016,0.462,0.6713,3379.0,4909.0
"Leicestershire, Rutland and Northamptonshire",2012,0.3716,0.4657,3319.0,4159.0
"Leicestershire, Rutland and Northamptonshire",2013,0.414,0.5305,3667.0,4700.0
"Leicestershire, Rutland and Northamptonshire",2014,0.4613,0.5827,4190.0,5293.0
"Leicestershire, Rutland and Northamptonshire",2015,0.4551,0.5845,4132.0,5307.0
"Leicestershire, Rutland and Northamptonshire",2016,0.4749,0.6453,4347.0,5906.0
Lincolnshire,2012,0.1764,0.2211,607.0,761.0
Lincolnshire,2013,0.1811,0.2321,663.0,850.0
Lincolnshire,2014,0.1973,0.2492,760.0,960.0
Lincolnshire,2015,0.2125,0.2729,755.0,969.0
Lincolnshire,2016,0.2274,0.3091,819.0,1113.0
Merseyside,2012,0.2243,0.3037,1639.0,2219.0
Merseyside,2013,0.2633,0.3486,1898.0,2513.0
Merseyside,2014,0.3505,0.4861,2444.0,3389.0
Merseyside,2015,0.3646,0.4891,2620.0,3514.0
Merseyside,2016,0.4352,0.6323,3139.0,4561.0
North Eastern Scotland,2012,0.4301,1.3399,1172.0,3650.0
North Eastern Scotland,2013,0.4562,1.752,1205.0,4629.0
North Eastern Scotland,2014,0.6153,1.5022,1724.0,4208.0
North Eastern Scotland,2015,0.5074,0.7113,1411.0,1978.0
North Eastern Scotland,2016,0.7568,1.1897,2067.0,3249.0
North Yorkshire,2012,0.7279,0.5718,3020.0,2372.0
North Yorkshire,2013,0.5229,0.8164,2115.0,3302.0
North Yorkshire,2014,0.5595,0.8616,2264.0,3486.0
North Yorkshire,2015,0.6427,0.9605,2700.0,4035.0
North Yorkshire,2016,0.6552,1.0154,2767.0,4289.0
Northern Ireland,2012,0.5337,0.7372,4602.0,6357.0
Northern Ireland,2013,0.5514,0.7794,4752.0,6717.0
Northern Ireland,2014,0.5727,0.9409,4964.0,8155.0
Northern Ireland,2015,0.6966,1.0564,6079.0,9218.0
Northern Ireland,2016,0.7878,1.2252,6990.0,10871.0
Northumberland and Tyne and Wear,2012,0.2853,0.3727,2025.0,2645.0
Northumberland and Tyne and Wear,2013,0.3189,0.4001,2253.0,2827.0
Northumberland and Tyne and Wear,2014,0.336,0.4694,2415.0,3373.0
Northumberland and Tyne and Wear,2015,0.3938,0.5574,2799.0,3962.0
Northumberland and Tyne and Wear,2016,0.3875,0.6322,2797.0,4564.0
Outer London - East and North East,2012,0.0628,0.0906,547.0,788.0
Outer London - East and North East,2013,0.0687,0.0982,601.0,860.0
Outer London - East and North East,2014,0.0718,0.1068,650.0,967.0
Outer London - East and North East,2015,0.085,0.1213,814.0,1163.0
Outer London - East and North East,2016,0.0766,0.1196,747.0,1166.0
Outer London - South,2012,0.1479,0.2133,957.0,1380.0
Outer London - South,2013,0.1087,0.1554,772.0,1104.0
Outer London - South,2014,0.1679,0.2498,1157.0,1722.0
Outer London - South,2015,0.1307,0.1866,890.0,1271.0
Outer London - South,2016,0.1403,0.219,964.0,1505.0
Outer London - West and North West,2012,0.4213,0.6077,4435.0,6398.0
Outer London - West and North West,2013,0.3511,0.502,3679.0,5260.0
Outer London - West and North West,2014,0.411,0.6115,4450.0,6621.0
Outer London - West and North West,2015,0.5598,0.7996,5985.0,8549.0
Outer London - West and North West,2016,0.4869,0.7597,5245.0,8184.0
Shropshire and Staffordshire,2012,0.2422,0.3096,1920.0,2454.0
Shropshire and Staffordshire,2013,0.2786,0.3457,2241.0,2780.0
Shropshire and Staffordshire,2014,0.3082,0.4137,2429.0,3260.0
Shropshire and Staffordshire,2015,0.3227,0.4308,2605.0,3478.0
Shropshire and Staffordshire,2016,0.313,0.4121,2603.0,3427.0
South Western Scotland,2012,0.2517,0.4979,2747.0,5433.0
South Western Scotland,2013,,,3483.0,6568.0
South Western Scotland,2014,,,2942.0,7095.0
South Western Scotland,2015,,,3385.0,4744.0
South Western Scotland,2016,,,3592.0,5646.0
South Yorkshire,2012,0.1954,0.2652,1314.0,1783.0
South Yorkshire,2013,0.2148,0.3354,1492.0,2330.0
South Yorkshire,2014,0.2265,0.3488,1594.0,2455.0
South Yorkshire,2015,0.2717,0.406,1770.0,2645.0
South Yorkshire,2016,0.2409,0.3735,1597.0,2475.0
"Surrey, East and West Sussex",2012,0.582,0.727,8249.0,10304.0
"Surrey, East and West Sussex",2013,0.5952,0.7636,8567.0,10991.0
"Surrey, East and West Sussex",2014,0.6162,0.8057,8821.0,11533.0
"Surrey, East and West Sussex",2015,0.6791,0.8525,9744.0,12234.0
"Surrey, East and West Sussex",2016,0.6193,0.857,9165.0,12682.0
Tees Valley and Durham,2012,0.2605,0.3404,1445.0,1888.0
Tees Valley and Durham,2013,0.4583,0.575,2530.0,3174.0
Tees Valley and Durham,2014,0.2927,0.4089,1658.0,2317.0
Tees Valley and Durham,2015,0.293,0.4147,1650.0,2335.0
Tees Valley and Durham,2016,0.2446,0.399,1382.0,2254.0
West Midlands,2012,0.3545,0.453,4599.0,5877.0
West Midlands,2013,0.4496,0.5579,5872.0,7285.0
West Midlands,2014,0.5245,0.704,6837.0,9177.0
West Midlands,2015,0.5547,0.7404,7126.0,9513.0
West Midlands,2016,0.5675,0.7473,7571.0,9970.0
West Wales and The Valleys,2012,0.0908,0.128,836.0,1179.0
West Wales and The Valleys,2013,0.1208,0.1708,1115.0,1577.0
West Wales and The Valleys,2014,0.2953,0.4341,2671.0,3927.0
West Wales and The Valleys,2015,0.269,0.4253,2514.0,3975.0
West Wales and The Valleys,2016,0.2602,0.4344,2480.0,4140.0
West Yorkshire,2012,0.3115,0.4228,3434.0,4660.0
West Yorkshire,2013,0.371,0.5792,4119.0,6431.0
West Yorkshire,2014,0.3739,0.5758,4124.0,6351.0
West Yorkshire,2015,0.3983,0.5952,4547.0,6795.0
West Yorkshire,2016,0.3721,0.5767,4275.0,6625.0
